"CUADRO Nº 7: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PADECIMIENTO DE ALGUNA DIFICULTAD O LIMITACIÓN FÍSICA O MENTAL PERMANENTE DE ALGÚN MIEMBRO DEL HOGAR, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISCAPACIDAD FÍSICA O MENTAL",,,,,"NINGUNA PERSONA CON DISCAPACIDAD"
,,"PARA VER, AÚN USANDO LENTES","PARA OÍR, AÚN USANDO AUDÍ-FONOS PARA SORDERA","PARA HABLAR (ENTONAR / VOCALIZAR)","PARA USAR BRAZOS Y MANOS / PIERNAS Y PIES","ALGUNA OTRA DIFICULTAD O LIMITACIÓN",
,,,,,,,
"Provincia OXAPAMPA",,,,,,,
"Hogares (001)",19549,688,198,299,309,436,17800
"Ocupantes presentes (002)",79447,2830,825,1563,1440,1923,71708
"Casa independiente",,,,,,,
"Hogares (004)",14407,577,152,221,235,350,13011
"Ocupantes presentes (005)",58301,2330,623,1154,1069,1511,52232
"Departamento en edificio",,,,,,,
"Hogares (007)",62,6,,1,1,,55
"Ocupantes presentes (008)",178,16,,6,1,,156
"Vivienda en quinta",,,,,,,
"Hogares (010)",399,17,3,3,6,4,367
"Ocupantes presentes (011)",1242,58,13,15,13,11,1134
"Vivienda en casa de vecindad",,,,,,,
"Hogares (013)",365,12,1,4,5,8,339
"Ocupantes presentes (014)",1142,38,7,16,21,29,1051
"Choza o cabaña",,,,,,,
"Hogares (016)",4152,73,39,68,59,69,3880
"Ocupantes presentes (017)",17996,372,171,370,324,350,16610
"Vivienda improvisada",,,,,,,
"Hogares (019)",89,2,1,2,3,4,77
"Ocupantes presentes (020)",350,12,2,2,12,19,303
"Local no dest.para hab. humana",,,,,,,
"Hogares (022)",47,,2,,,,45
"Ocupantes presentes (023)",162,,9,,,,153
"Otro tipo",,,,,,,
"Hogares (025)",28,1,,,,1,26
"Ocupantes presentes (026)",76,4,,,,3,69
,,,,,,,
URBANA,,,,,,,
"Hogares (028)",7382,381,67,84,134,161,6623
"Ocupantes presentes (029)",28409,1547,286,418,584,716,25148
"Casa independiente",,,,,,,
"Hogares (031)",6422,344,61,74,119,144,5742
"Ocupantes presentes (032)",25363,1423,261,379,537,654,22376
"Departamento en edificio",,,,,,,
"Hogares (034)",62,6,,1,1,,55
"Ocupantes presentes (035)",178,16,,6,1,,156
"Vivienda en quinta",,,,,,,
"Hogares (037)",399,17,3,3,6,4,367
"Ocupantes presentes (038)",1242,58,13,15,13,11,1134
"Vivienda en casa de vecindad",,,,,,,
"Hogares (040)",365,12,1,4,5,8,339
"Ocupantes presentes (041)",1142,38,7,16,21,29,1051
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Hogares (046)",89,2,1,2,3,4,77
"Ocupantes presentes (047)",350,12,2,2,12,19,303
"Local no dest.para hab. humana",,,,,,,
"Hogares (049)",25,,1,,,,24
"Ocupantes presentes (050)",80,,3,,,,77
"Otro tipo",,,,,,,
"Hogares (052)",20,,,,,1,19
"Ocupantes presentes (053)",54,,,,,3,51
,,,,,,,
RURAL,,,,,,,
"Hogares (055)",12167,307,131,215,175,275,11177
"Ocupantes presentes (056)",51038,1283,539,1145,856,1207,46560
"Casa independiente",,,,,,,
"Hogares (058)",7985,233,91,147,116,206,7269
"Ocupantes presentes (059)",32938,907,362,775,532,857,29856
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Hogares (070)",4152,73,39,68,59,69,3880
"Ocupantes presentes (071)",17996,372,171,370,324,350,16610
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Hogares (076)",22,,1,,,,21
"Ocupantes presentes (077)",82,,6,,,,76
"Otro tipo",,,,,,,
"Hogares (079)",8,1,,,,,7
"Ocupantes presentes (080)",22,4,,,,,18
