"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TARATA (000)",7056,1122,1851,1587,1502,994
"Sin nivel (001)",512,18,21,58,147,268
"Educación inicial (002)",49,44,4,1,,
"Primaria (003)",2806,790,210,500,732,574
"Secundaria (004)",2358,270,1026,595,378,89
"Superior no univ. incompleta (005)",365,,225,83,44,13
"Superior no univ. completa (006)",459,,199,154,82,24
"Superior univ. incompleta (007)",174,,80,64,22,8
"Superior univ. completa (008)",333,,86,132,97,18
"PEA (010)",4267,89,1114,1298,1181,585
"Sin nivel (011)",265,1,13,34,103,114
"Educación inicial (012)",3,,3,,,
"Primaria (013)",1493,54,140,380,551,368
"Secundaria (014)",1511,34,602,499,318,58
"Superior no univ. incompleta (015)",207,,87,72,37,11
"Superior no univ. completa (016)",377,,153,134,73,17
"Superior univ. incompleta (017)",117,,43,53,15,6
"Superior univ. completa (018)",294,,73,126,84,11
"Ocupada (020)",4048,87,1011,1224,1153,573
"Sin nivel (021)",260,1,13,33,100,113
"Educación inicial (022)",3,,3,,,
"Primaria (023)",1436,54,129,359,537,357
"Secundaria (024)",1399,32,540,459,310,58
"Superior no univ. incompleta (025)",201,,84,69,37,11
"Superior no univ. completa (026)",350,,133,129,71,17
"Superior univ. incompleta (027)",113,,41,51,15,6
"Superior univ. completa (028)",286,,68,124,83,11
"Desocupada (030)",219,2,103,74,28,12
"Sin nivel (031)",5,,,1,3,1
"Primaria (033)",57,,11,21,14,11
