"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia FERREÑAFE (000)",326,323,3
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",9,9,
"Hospital, clinica (004)",41,40,1
"Aldea infantil, orfelinato, etc (007)",81,81,
"Otro (008)",94,92,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",101,101,
