"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BONGARA (000)",9747,9500,2673,1381,1326,1010,1400,879,485,346,247,26857
"De 12 a 14 años (001)",1018,1012,1008,4,,,,,,,6,4
"De 15 a 19 años (002)",1350,1315,1077,197,34,6,1,,,,35,287
"De 20 a 24 años (003)",1057,977,280,431,195,58,12,1,,,80,1052
"De 25 a 29 años (004)",950,912,96,299,297,135,79,5,1,,38,1681
"De 30 a 34 años (005)",914,895,43,146,276,213,175,42,,,19,2347
"De 35 a 39 años (006)",966,948,39,117,218,195,250,96,27,6,18,3114
"De 40 a 44 años (007)",791,774,35,58,108,147,246,116,54,10,17,3110
"De 45 a 49 años (008)",626,622,21,33,67,89,179,133,64,36,4,3022
"De 50 y más años (009)",2075,2045,74,96,131,167,458,486,339,294,30,12240
"PEA (010)",2591,2504,455,428,456,346,416,226,110,67,87,7366
"De 12 a 14 años (011)",38,36,36,,,,,,,,2,
"De 15 a 19 años (012)",219,216,171,36,8,1,,,,,3,55
"De 20 a 24 años (013)",258,227,105,89,28,4,1,,,,31,161
"De 25 a 29 años (014)",310,291,61,103,81,31,14,,1,,19,428
"De 30 a 34 años (015)",307,296,22,62,97,70,40,5,,,11,665
"De 35 a 39 años (016)",382,375,22,65,108,70,80,21,7,2,7,1050
"De 40 a 44 años (017)",297,288,15,28,53,64,85,31,12,,9,998
"De 45 a 49 años (018)",238,236,11,21,32,48,62,40,17,5,2,957
"De 50 y más años (019)",542,539,12,24,49,58,134,129,73,60,3,3052
"Ocupada (020)",2523,2439,423,418,450,342,412,220,108,66,84,7251
"De 12 a 14 años (021)",34,32,32,,,,,,,,2,
"De 15 a 19 años (022)",205,202,157,36,8,1,,,,,3,55
