"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia YAUYOS",,,,,,,,
"Hogares (001)",7926,5181,2502,643,19,270,123,2006
"Ocupantes presentes (002)",25093,17425,9383,2478,72,1094,486,4997
"Casa independiente",,,,,,,,
"Hogares (004)",7348,4777,2400,614,19,265,118,1870
"Ocupantes presentes (005)",23502,16258,9005,2373,72,1071,456,4698
"Departamento en edificio",,,,,,,,
"Hogares (007)",6,2,2,2,,,,2
"Ocupantes presentes (008)",13,2,6,6,,,,5
"Vivienda en quinta",,,,,,,,
"Hogares (010)",30,15,8,1,,,,11
"Ocupantes presentes (011)",103,65,39,7,,,,21
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",136,86,66,22,,2,5,26
"Ocupantes presentes (014)",407,280,232,77,,12,30,51
"Choza o cabaña",,,,,,,,
"Hogares (016)",344,268,4,,,,,75
"Ocupantes presentes (017)",869,692,10,,,,,175
"Vivienda improvisada",,,,,,,,
"Hogares (019)",43,20,16,3,,3,,17
"Ocupantes presentes (020)",146,90,70,13,,11,,35
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",8,5,2,,,,,3
"Ocupantes presentes (023)",24,17,9,,,,,7
"Otro tipo",,,,,,,,
"Hogares (025)",11,8,4,1,,,,2
"Ocupantes presentes (026)",29,21,12,2,,,,5
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",4864,3149,1956,537,17,210,115,1157
"Ocupantes presentes (029)",15451,10626,7262,2078,67,848,458,2783
"Casa independiente",,,,,,,,
"Hogares (031)",4633,3014,1858,508,17,205,110,1098
"Ocupantes presentes (032)",14734,10152,6894,1973,67,825,428,2663
"Departamento en edificio",,,,,,,,
"Hogares (034)",6,2,2,2,,,,2
"Ocupantes presentes (035)",13,2,6,6,,,,5
"Vivienda en quinta",,,,,,,,
"Hogares (037)",30,15,8,1,,,,11
"Ocupantes presentes (038)",103,65,39,7,,,,21
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",136,86,66,22,,2,5,26
"Ocupantes presentes (041)",407,280,232,77,,12,30,51
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",43,20,16,3,,3,,17
"Ocupantes presentes (047)",146,90,70,13,,11,,35
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",6,4,2,,,,,2
"Ocupantes presentes (050)",20,16,9,,,,,4
"Otro tipo",,,,,,,,
"Hogares (052)",10,8,4,1,,,,1
"Ocupantes presentes (053)",28,21,12,2,,,,4
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",3062,2032,546,106,2,60,8,849
"Ocupantes presentes (056)",9642,6799,2121,400,5,246,28,2214
"Casa independiente",,,,,,,,
"Hogares (058)",2715,1763,542,106,2,60,8,772
"Ocupantes presentes (059)",8768,6106,2111,400,5,246,28,2035
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",344,268,4,,,,,75
"Ocupantes presentes (071)",869,692,10,,,,,175
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",2,1,,,,,,1
"Ocupantes presentes (077)",4,1,,,,,,3
"Otro tipo",,,,,,,,
"Hogares (079)",1,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,1
