"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TAYACAJA (000)",25505,104406,6179,25197,19326,79209
"Casa independiente (001)",24186,98964,5967,24195,18219,74769
"Departamento en edificio (002)",3,12,3,12,,
"Vivienda en quinta (003)",73,330,73,330,,
"Vivienda en casa de vecindad (004)",117,618,117,618,,
"Choza o cabaña (005)",1097,4415,,,1097,4415
"Vivienda improvisada (006)",10,33,10,33,,
"Local no dest.para hab. humana (007)",17,30,9,9,8,21
"Otro tipo (008)",2,4,,,2,4
