"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUALGAYOC (000)",53566,50277,3289
"Hombres (001)",25338,24316,1022
"Mujeres (002)",28228,25961,2267
"De 18 a 29 años (003)",18757,17800,957
"Hombres (004)",8712,8321,391
"Mujeres (005)",10045,9479,566
"De 30 a 44 años (006)",16664,16180,484
"Hombres (007)",7962,7830,132
"Mujeres (008)",8702,8350,352
"De 45 a 64 años (009)",12121,11370,751
"Hombres (010)",5827,5642,185
"Mujeres (011)",6294,5728,566
"De 65 y más años (012)",6024,4927,1097
"Hombres (013)",2837,2523,314
"Mujeres (014)",3187,2404,783
,,,
"URBANA (015)",13250,12884,366
"Hombres (016)",6800,6674,126
"Mujeres (017)",6450,6210,240
"De 18 a 29 años (018)",4653,4529,124
"Hombres (019)",2308,2255,53
"Mujeres (020)",2345,2274,71
"De 30 a 44 años (021)",4489,4437,52
"Hombres (022)",2381,2364,17
"Mujeres (023)",2108,2073,35
"De 45 a 64 años (024)",2964,2880,84
"Hombres (025)",1561,1536,25
"Mujeres (026)",1403,1344,59
"De 65 y más años (027)",1144,1038,106
"Hombres (028)",550,519,31
"Mujeres (029)",594,519,75
,,,
"RURAL (030)",40316,37393,2923
"Hombres (031)",18538,17642,896
"Mujeres (032)",21778,19751,2027
"De 18 a 29 años (033)",14104,13271,833
"Hombres (034)",6404,6066,338
"Mujeres (035)",7700,7205,495
"De 30 a 44 años (036)",12175,11743,432
"Hombres (037)",5581,5466,115
"Mujeres (038)",6594,6277,317
"De 45 a 64 años (039)",9157,8490,667
"Hombres (040)",4266,4106,160
"Mujeres (041)",4891,4384,507
"De 65 y más años (042)",4880,3889,991
"Hombres (043)",2287,2004,283
"Mujeres (044)",2593,1885,708
