"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia EL COLLAO",,,,,,,,
"Hogares (001)",26378,15385,3762,1154,197,133,474,10477
"Ocupantes presentes (002)",78773,49744,13693,4191,626,503,1872,27255
"Casa independiente",,,,,,,,
"Hogares (004)",25313,14829,3695,1129,194,127,460,9987
"Ocupantes presentes (005)",75981,48097,13453,4109,617,478,1821,26172
"Departamento en edificio",,,,,,,,
"Hogares (007)",16,15,11,4,2,2,4,1
"Ocupantes presentes (008)",50,48,36,11,5,9,11,2
"Vivienda en quinta",,,,,,,,
"Hogares (010)",29,20,9,4,,1,4,8
"Ocupantes presentes (011)",111,83,35,16,,2,17,24
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",38,27,21,9,,2,6,7
"Ocupantes presentes (014)",119,88,71,27,,8,23,20
"Choza o cabaña",,,,,,,,
"Hogares (016)",956,482,20,6,1,,,460
"Ocupantes presentes (017)",2437,1374,64,19,4,,,1016
"Vivienda improvisada",,,,,,,,
"Hogares (019)",5,4,2,,,,,1
"Ocupantes presentes (020)",24,22,15,,,,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",17,7,4,2,,1,,10
"Ocupantes presentes (023)",42,26,19,9,,6,,16
"Otro tipo",,,,,,,,
"Hogares (025)",4,1,,,,,,3
"Ocupantes presentes (026)",9,6,,,,,,3
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",7373,5492,2912,987,98,128,452,1568
"Ocupantes presentes (029)",23266,18337,10596,3622,344,488,1808,3849
"Casa independiente",,,,,,,,
"Hogares (031)",7275,5420,2865,968,96,122,438,1547
"Ocupantes presentes (032)",22929,18071,10420,3559,339,463,1757,3793
"Departamento en edificio",,,,,,,,
"Hogares (034)",16,15,11,4,2,2,4,1
"Ocupantes presentes (035)",50,48,36,11,5,9,11,2
"Vivienda en quinta",,,,,,,,
"Hogares (037)",29,20,9,4,,1,4,8
"Ocupantes presentes (038)",111,83,35,16,,2,17,24
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",38,27,21,9,,2,6,7
"Ocupantes presentes (041)",119,88,71,27,,8,23,20
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",5,4,2,,,,,1
"Ocupantes presentes (047)",24,22,15,,,,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",9,6,4,2,,1,,3
"Ocupantes presentes (050)",32,25,19,9,,6,,7
"Otro tipo",,,,,,,,
"Hogares (052)",1,,,,,,,1
"Ocupantes presentes (053)",1,,,,,,,1
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",19005,9893,850,167,99,5,22,8909
"Ocupantes presentes (056)",55507,31407,3097,569,282,15,64,23406
"Casa independiente",,,,,,,,
"Hogares (058)",18038,9409,830,161,98,5,22,8440
"Ocupantes presentes (059)",53052,30026,3033,550,278,15,64,22379
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",956,482,20,6,1,,,460
"Ocupantes presentes (071)",2437,1374,64,19,4,,,1016
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",8,1,,,,,,7
"Ocupantes presentes (077)",10,1,,,,,,9
"Otro tipo",,,,,,,,
"Hogares (079)",3,1,,,,,,2
"Ocupantes presentes (080)",8,6,,,,,,2
