"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia CANGALLO",,,,,,,,,
"Viviendas particulares (001)",9763,2584,1115,778,4,77,4651,493,61
"Ocupantes presentes (002)",34605,9350,4053,2712,14,215,16661,1410,190
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",9196,2524,1102,755,4,76,4199,475,61
"Ocupantes presentes (005)",32881,9176,4015,2649,14,213,15269,1355,190
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",35,34,1,,,,,,
"Ocupantes presentes (011)",90,85,5,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",41,21,11,,,,8,1,
"Ocupantes presentes (014)",158,73,30,,,,36,19,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",485,,,23,,1,444,17,
"Ocupantes presentes (017)",1457,,,63,,2,1356,36,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",6,5,1,,,,,,
"Ocupantes presentes (023)",19,16,3,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",3326,1354,675,35,,3,1001,233,25
"Ocupantes presentes (029)",11889,4770,2432,107,,10,3806,687,77
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3245,1295,662,35,,3,993,232,25
"Ocupantes presentes (032)",11627,4601,2394,107,,10,3770,668,77
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",35,34,1,,,,,,
"Ocupantes presentes (038)",90,85,5,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",41,21,11,,,,8,1,
"Ocupantes presentes (041)",158,73,30,,,,36,19,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",5,4,1,,,,,,
"Ocupantes presentes (050)",14,11,3,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",6437,1230,440,743,4,74,3650,260,36
"Ocupantes presentes (056)",22716,4580,1621,2605,14,205,12855,723,113
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",5951,1229,440,720,4,73,3206,243,36
"Ocupantes presentes (059)",21254,4575,1621,2542,14,203,11499,687,113
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",485,,,23,,1,444,17,
"Ocupantes presentes (071)",1457,,,63,,2,1356,36,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,,
"Ocupantes presentes (077)",5,5,,,,,,,
"Otro tipo",,,,,,,,,
