"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONCEPCION (000)",16319,155,5599,5723,2027,693,309,84,24,,1705
"Catolica (001)",13580,113,4592,4808,1714,586,269,68,20,,1410
"Cristiana / Evangelica (002)",2330,36,867,780,268,96,29,13,3,,238
"Otra (003)",253,3,87,82,33,7,7,2,1,,31
"Ninguna (004)",156,3,53,53,12,4,4,1,,,26
,,,,,,,,,,,
"URBANA (006)",8821,75,2695,3066,1245,446,189,53,15,,1037
"Catolica (007)",7567,55,2267,2665,1093,386,166,44,13,,878
"Cristiana / Evangelica (008)",1029,16,355,326,126,51,17,9,1,,128
"Otra (009)",133,1,38,45,21,6,3,,1,,18
"Ninguna (010)",92,3,35,30,5,3,3,,,,13
,,,,,,,,,,,
"RURAL (012)",7498,80,2904,2657,782,247,120,31,9,,668
"Catolica (013)",6013,58,2325,2143,621,200,103,24,7,,532
"Cristiana / Evangelica (014)",1301,20,512,454,142,45,12,4,2,,110
"Otra (015)",120,2,49,37,12,1,4,2,,,13
"Ninguna (016)",64,,18,23,7,1,1,1,,,13
