"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia HUACAYBAMBA",,,,,,,
"Viviendas particulares (001)",4433,381,,26,3884,52,90
"Ocupantes presentes (002)",20321,1403,,96,18333,183,306
"Casa independiente",,,,,,,
"Viviendas particulares (004)",4373,376,,25,3832,51,89
"Ocupantes presentes (005)",20130,1379,,89,18179,182,301
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",2,,,,2,,
"Ocupantes presentes (011)",10,,,,10,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",56,5,,1,49,1,
"Ocupantes presentes (017)",171,24,,7,139,1,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",2,,,,1,,1
"Ocupantes presentes (023)",10,,,,5,,5
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",852,189,,5,636,12,10
"Ocupantes presentes (029)",3617,595,,13,2925,52,32
"Casa independiente",,,,,,,
"Viviendas particulares (031)",849,189,,5,633,12,10
"Ocupantes presentes (032)",3602,595,,13,2910,52,32
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",2,,,,2,,
"Ocupantes presentes (038)",10,,,,10,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",1,,,,1,,
"Ocupantes presentes (050)",5,,,,5,,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",3581,192,,21,3248,40,80
"Ocupantes presentes (056)",16704,808,,83,15408,131,274
"Casa independiente",,,,,,,
"Viviendas particulares (058)",3524,187,,20,3199,39,79
"Ocupantes presentes (059)",16528,784,,76,15269,130,269
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",56,5,,1,49,1,
"Ocupantes presentes (071)",171,24,,7,139,1,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,,1
"Ocupantes presentes (077)",5,,,,,,5
"Otro tipo",,,,,,,
