"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCABAMBA (000)",106223,37937,4925,753,62666
"Hombres (001)",53180,17819,2490,441,32463
"Mujeres (002)",53043,20118,2435,312,30203
"PEA (003)",33768,5133,2333,420,25907
"Hombres (004)",26317,3658,1389,308,20980
"Mujeres (005)",7451,1475,944,112,4927
"Ocupada (006)",31314,4725,2285,404,23924
"Hombres (007)",24333,3351,1361,298,19340
"Mujeres (008)",6981,1374,924,106,4584
"Desocupada (009)",2454,408,48,16,1983
"Hombres (010)",1984,307,28,10,1640
"Mujeres (011)",470,101,20,6,343
"No PEA (012)",72455,32804,2592,333,36759
"Hombres (013)",26863,14161,1101,133,11483
"Mujeres (014)",45592,18643,1491,200,25276
,,,,,
"URBANA (018)",13718,2542,2948,470,7783
"Hombres (019)",6724,1220,1418,278,3825
"Mujeres (020)",6994,1322,1530,192,3958
"PEA (021)",5728,392,1472,261,3621
"Hombres (022)",3551,227,775,187,2374
"Mujeres (023)",2177,165,697,74,1247
"Ocupada (024)",5402,367,1454,257,3342
"Hombres (025)",3318,210,768,185,2167
"Mujeres (026)",2084,157,686,72,1175
"Desocupada (027)",326,25,18,4,279
"Hombres (028)",233,17,7,2,207
"Mujeres (029)",93,8,11,2,72
"No PEA (030)",7990,2150,1476,209,4162
"Hombres (031)",3173,993,643,91,1451
"Mujeres (032)",4817,1157,833,118,2711
,,,,,
"RURAL (036)",92505,35395,1977,283,54883
"Hombres (037)",46456,16599,1072,163,28638
"Mujeres (038)",46049,18796,905,120,26245
"PEA (039)",28040,4741,861,159,22286
"Hombres (040)",22766,3431,614,121,18606
"Mujeres (041)",5274,1310,247,38,3680
"Ocupada (042)",25912,4358,831,147,20582
"Hombres (043)",21015,3141,593,113,17173
"Mujeres (044)",4897,1217,238,34,3409
"Desocupada (045)",2128,383,30,12,1704
"Hombres (046)",1751,290,21,8,1433
"Mujeres (047)",377,93,9,4,271
"No PEA (048)",64465,30654,1116,124,32597
"Hombres (049)",23690,13168,458,42,10032
"Mujeres (050)",40775,17486,658,82,22565
