"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CARABAYA (000)",19221,8390,10831
"Red pública dentro de la vivienda (001)",2491,2106,385
"Red pública fuera de la vivienda (002)",2881,2366,515
"Pilón de uso público (003)",347,206,141
"Camión - cisterna u otro similar (004)",17,7,10
"Pozo (005)",854,118,736
"Río, acequia, manatial o similar (006)",11919,3297,8622
"Vecino (007)",516,236,280
"Otro (008)",196,54,142
,,,
"URBANA (010)",7160,5723,1437
"Red pública dentro de la vivienda (011)",2338,2000,338
"Red pública fuera de la vivienda (012)",2195,1817,378
"Pilón de uso público (013)",187,110,77
"Camión - cisterna u otro similar (014)",5,2,3
"Pozo (015)",135,72,63
"Río, acequia, manatial o similar (016)",1922,1533,389
"Vecino (017)",299,144,155
"Otro (018)",79,45,34
,,,
"RURAL (020)",12061,2667,9394
"Red pública dentro de la vivienda (021)",153,106,47
"Red pública fuera de la vivienda (022)",686,549,137
"Pilón de uso público (023)",160,96,64
"Camión - cisterna u otro similar (024)",12,5,7
"Pozo (025)",719,46,673
"Río, acequia, manatial o similar (026)",9997,1764,8233
"Vecino (027)",217,92,125
"Otro (028)",117,9,108
