"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CALCA (000)",61513,25535,3435,1013,31644
"Quechua (001)",43008,19546,1520,453,21562
"Aymara (002)",101,45,4,3,51
"Asháninka (003)",4,3,,1,1
"Otra lengua nativa (004)",117,56,,2,59
"Castellano (005)",18128,5840,1895,549,9882
"Idioma Extranjero (006)",13,1,,5,7
"Es Sordomudo/a (007)",142,44,16,,82
"Hombres (009)",30990,12530,1726,628,16172
"Quechua (010)",21243,9360,805,288,10833
"Aymara (011)",63,25,1,1,36
"Asháninka (012)",2,2,,,
"Otra lengua nativa (013)",97,50,,2,45
"Castellano (014)",9543,3082,914,335,5235
"Idioma Extranjero (015)",5,1,,2,2
"Es Sordomudo/a (016)",37,10,6,,21
"Mujeres (018)",30523,13005,1709,385,15472
"Quechua (019)",21765,10186,715,165,10729
"Aymara (020)",38,20,3,2,15
"Asháninka (021)",2,1,,1,1
"Otra lengua nativa (022)",20,6,,,14
"Castellano (023)",8585,2758,981,214,4647
"Idioma Extranjero (024)",8,,,3,5
"Es Sordomudo/a (025)",105,34,10,,61
,,,,,
"URBANA (027)",21997,5041,2547,768,13687
"Quechua (028)",9791,1798,848,285,6876
"Aymara (029)",21,2,3,2,15
"Asháninka (030)",2,1,,,1
"Otra lengua nativa (031)",27,1,,2,24
"Castellano (032)",12093,3232,1685,474,6731
"Idioma Extranjero (033)",13,1,,5,7
"Es Sordomudo/a (034)",50,6,11,,33
"Hombres (036)",10884,2476,1248,481,6708
"Quechua (037)",4781,863,432,185,3311
"Aymara (038)",9,,,1,8
"Asháninka (039)",1,1,,,
"Otra lengua nativa (040)",23,1,,2,20
"Castellano (041)",6057,1608,813,291,3364
"Idioma Extranjero (042)",5,1,,2,2
"Es Sordomudo/a (043)",8,2,3,,3
"Mujeres (045)",11113,2565,1299,287,6979
"Quechua (046)",5010,935,416,100,3565
"Aymara (047)",12,2,3,1,7
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",4,,,,4
"Castellano (050)",6036,1624,872,183,3367
"Idioma Extranjero (051)",8,,,3,5
"Es Sordomudo/a (052)",42,4,8,,30
,,,,,
"RURAL (054)",39516,20494,888,245,17957
"Quechua (055)",33217,17748,672,168,14686
"Aymara (056)",80,43,1,1,36
"Asháninka (057)",2,2,,1,
"Otra lengua nativa (058)",90,55,,,35
"Castellano (059)",6035,2608,210,75,3151
"Es Sordomudo/a (061)",92,38,5,,49
"Hombres (063)",20106,10054,478,147,9464
"Quechua (064)",16462,8497,373,103,7522
"Aymara (065)",54,25,1,,28
"Asháninka (066)",1,1,,,
"Otra lengua nativa (067)",74,49,,,25
"Castellano (068)",3486,1474,101,44,1871
"Es Sordomudo/a (070)",29,8,3,,18
"Mujeres (072)",19410,10440,410,98,8493
"Quechua (073)",16755,9251,299,65,7164
"Aymara (074)",26,18,,1,8
"Asháninka (075)",1,1,,1,
"Otra lengua nativa (076)",16,6,,,10
"Castellano (077)",2549,1134,109,31,1280
"Es Sordomudo/a (079)",63,30,2,,31
