"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANTA (000)",144012,1336,44978,55379,36344,5975
"Empleado (001)",41618,180,14335,17161,9269,673
"Obrero (002)",37199,260,13864,13760,8303,1012
"Trabajador independiente (003)",54262,254,12783,21142,16365,3718
"Empleador o patrono (004)",2838,3,524,1131,937,243
"Trabajador familiar no remunerado (005)",4931,579,1924,1243,903,282
"Trabajador del hogar (006)",3164,60,1548,942,567,47
"Hombres (008)",95127,861,29838,35791,24181,4456
"Empleado (009)",22953,94,7234,9425,5685,515
"Obrero (010)",31383,212,11848,11360,7032,931
"Trabajador independiente (011)",36151,181,9049,13720,10519,2682
"Empleador o patrono (012)",2101,2,380,840,684,195
"Trabajador familiar no remunerado (013)",2414,365,1270,420,231,128
"Trabajador del hogar (014)",125,7,57,26,30,5
"Mujeres (016)",48885,475,15140,19588,12163,1519
"Empleado (017)",18665,86,7101,7736,3584,158
"Obrero (018)",5816,48,2016,2400,1271,81
"Trabajador independiente (019)",18111,73,3734,7422,5846,1036
"Empleador o patrono (020)",737,1,144,291,253,48
"Trabajador familiar no remunerado (021)",2517,214,654,823,672,154
"Trabajador del hogar (022)",3039,53,1491,916,537,42
,,,,,,
"URBANA (024)",134795,1026,41870,52533,34135,5231
"Empleado (025)",41281,177,14198,17030,9207,669
"Obrero (026)",33850,195,12497,12648,7637,873
"Trabajador independiente (027)",50409,230,11950,19874,15140,3215
"Empleador o patrono (028)",2459,3,428,1020,808,200
"Trabajador familiar no remunerado (029)",3720,364,1292,1040,794,230
"Trabajador del hogar (030)",3076,57,1505,921,549,44
"Hombres (032)",87531,647,27264,33479,22336,3805
"Empleado (033)",22745,94,7155,9340,5643,513
"Obrero (034)",28539,158,10671,10443,6460,807
"Trabajador independiente (035)",32813,162,8339,12633,9454,2225
"Empleador o patrono (036)",1753,2,294,739,565,153
"Trabajador familiar no remunerado (037)",1558,224,749,298,185,102
"Trabajador del hogar (038)",123,7,56,26,29,5
"Mujeres (040)",47264,379,14606,19054,11799,1426
"Empleado (041)",18536,83,7043,7690,3564,156
"Obrero (042)",5311,37,1826,2205,1177,66
"Trabajador independiente (043)",17596,68,3611,7241,5686,990
"Empleador o patrono (044)",706,1,134,281,243,47
"Trabajador familiar no remunerado (045)",2162,140,543,742,609,128
"Trabajador del hogar (046)",2953,50,1449,895,520,39
,,,,,,
"RURAL (048)",9217,310,3108,2846,2209,744
"Empleado (049)",337,3,137,131,62,4
"Obrero (050)",3349,65,1367,1112,666,139
"Trabajador independiente (051)",3853,24,833,1268,1225,503
"Empleador o patrono (052)",379,,96,111,129,43
"Trabajador familiar no remunerado (053)",1211,215,632,203,109,52
"Trabajador del hogar (054)",88,3,43,21,18,3
"Hombres (056)",7596,214,2574,2312,1845,651
"Empleado (057)",208,,79,85,42,2
"Obrero (058)",2844,54,1177,917,572,124
"Trabajador independiente (059)",3338,19,710,1087,1065,457
"Empleador o patrono (060)",348,,86,101,119,42
"Trabajador familiar no remunerado (061)",856,141,521,122,46,26
"Trabajador del hogar (062)",2,,1,,1,
"Mujeres (064)",1621,96,534,534,364,93
"Empleado (065)",129,3,58,46,20,2
"Obrero (066)",505,11,190,195,94,15
"Trabajador independiente (067)",515,5,123,181,160,46
"Empleador o patrono (068)",31,,10,10,10,1
"Trabajador familiar no remunerado (069)",355,74,111,81,63,26
"Trabajador del hogar (070)",86,3,42,21,17,3
