"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CONDESUYOS (000)",8365,1212,3111,3183,82,728,49
"Sin nivel (001)",620,9,134,303,7,165,2
"Educación inicial (002)",2,,,,1,1,
"Primaria (003)",2017,54,653,1004,30,261,15
"Secundaria (004)",3122,246,1440,1185,24,206,21
"Superior no univ. incompleta (005)",617,123,244,212,4,31,3
"Superior no univ. completa (006)",1025,343,398,236,6,36,6
"Superior univ. incompleta (007)",298,61,114,103,3,16,1
"Superior univ. completa (008)",664,376,128,140,7,12,1
"Hombres (010)",6148,743,2784,2284,61,269,7
"Sin nivel (011)",216,,82,105,2,26,1
"Educación inicial (012)",2,,,,1,1,
"Primaria (013)",1331,27,513,679,21,89,2
"Secundaria (014)",2616,174,1361,954,20,106,1
"Superior no univ. incompleta (015)",482,76,226,156,3,21,
"Superior no univ. completa (016)",741,176,369,177,5,12,2
"Superior univ. incompleta (017)",254,44,108,92,3,7,
"Superior univ. completa (018)",506,246,125,121,6,7,1
"Mujeres (020)",2217,469,327,899,21,459,42
"Sin nivel (021)",404,9,52,198,5,139,1
"Primaria (023)",686,27,140,325,9,172,13
"Secundaria (024)",506,72,79,231,4,100,20
"Superior no univ. incompleta (025)",135,47,18,56,1,10,3
"Superior no univ. completa (026)",284,167,29,59,1,24,4
"Superior univ. incompleta (027)",44,17,6,11,,9,1
"Superior univ. completa (028)",158,130,3,19,1,5,
,,,,,,,
"URBANA (030)",3197,757,1066,1043,32,263,36
"Sin nivel (031)",217,5,65,99,2,45,1
"Primaria (033)",657,36,245,277,9,79,11
"Secundaria (034)",1088,158,470,354,7,85,14
"Superior no univ. incompleta (035)",269,69,84,98,1,15,2
"Superior no univ. completa (036)",519,233,140,112,6,22,6
"Superior univ. incompleta (037)",118,36,31,39,3,8,1
"Superior univ. completa (038)",329,220,31,64,4,9,1
"Hombres (040)",2087,406,916,649,22,88,6
"Sin nivel (041)",77,,41,32,,4,
"Primaria (043)",396,16,183,165,5,25,2
"Secundaria (044)",828,107,438,241,5,36,1
"Superior no univ. incompleta (045)",175,34,75,56,,10,
"Superior no univ. completa (046)",314,106,121,75,5,5,2
"Superior univ. incompleta (047)",88,22,28,32,3,3,
"Superior univ. completa (048)",209,121,30,48,4,5,1
"Mujeres (050)",1110,351,150,394,10,175,30
"Sin nivel (051)",140,5,24,67,2,41,1
"Primaria (053)",261,20,62,112,4,54,9
"Secundaria (054)",260,51,32,113,2,49,13
"Superior no univ. incompleta (055)",94,35,9,42,1,5,2
"Superior no univ. completa (056)",205,127,19,37,1,17,4
"Superior univ. incompleta (057)",30,14,3,7,,5,1
"Superior univ. completa (058)",120,99,1,16,,4,
,,,,,,,
"RURAL (060)",5168,455,2045,2140,50,465,13
"Sin nivel (061)",403,4,69,204,5,120,1
"Educación inicial (062)",2,,,,1,1,
"Primaria (063)",1360,18,408,727,21,182,4
"Secundaria (064)",2034,88,970,831,17,121,7
"Superior no univ. incompleta (065)",348,54,160,114,3,16,1
"Superior no univ. completa (066)",506,110,258,124,,14,
"Superior univ. incompleta (067)",180,25,83,64,,8,
"Superior univ. completa (068)",335,156,97,76,3,3,
"Hombres (070)",4061,337,1868,1635,39,181,1
"Sin nivel (071)",139,,41,73,2,22,1
"Educación inicial (072)",2,,,,1,1,
"Primaria (073)",935,11,330,514,16,64,
"Secundaria (074)",1788,67,923,713,15,70,
"Superior no univ. incompleta (075)",307,42,151,100,3,11,
"Superior no univ. completa (076)",427,70,248,102,,7,
"Superior univ. incompleta (077)",166,22,80,60,,4,
"Superior univ. completa (078)",297,125,95,73,2,2,
"Mujeres (080)",1107,118,177,505,11,284,12
"Sin nivel (081)",264,4,28,131,3,98,
"Primaria (083)",425,7,78,213,5,118,4
"Secundaria (084)",246,21,47,118,2,51,7
"Superior no univ. incompleta (085)",41,12,9,14,,5,1
"Superior no univ. completa (086)",79,40,10,22,,7,
"Superior univ. incompleta (087)",14,3,3,4,,4,
"Superior univ. completa (088)",38,31,2,3,1,1,
