"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia ASCOPE (000)",77902,75832,2070
"Hombres (001)",38781,37821,960
"Mujeres (002)",39121,38011,1110
"De 18 a 29 años (003)",22625,21347,1278
"Hombres (004)",11448,10767,681
"Mujeres (005)",11177,10580,597
"De 30 a 44 años (006)",24073,23823,250
"Hombres (007)",11826,11722,104
"Mujeres (008)",12247,12101,146
"De 45 a 64 años (009)",20889,20665,224
"Hombres (010)",10172,10082,90
"Mujeres (011)",10717,10583,134
"De 65 y más años (012)",10315,9997,318
"Hombres (013)",5335,5250,85
"Mujeres (014)",4980,4747,233
,,,
"URBANA (015)",68617,66928,1689
"Hombres (016)",33880,33096,784
"Mujeres (017)",34737,33832,905
"De 18 a 29 años (018)",19646,18577,1069
"Hombres (019)",9884,9315,569
"Mujeres (020)",9762,9262,500
"De 30 a 44 años (021)",21429,21233,196
"Hombres (022)",10439,10352,87
"Mujeres (023)",10990,10881,109
"De 45 a 64 años (024)",18381,18200,181
"Hombres (025)",8854,8782,72
"Mujeres (026)",9527,9418,109
"De 65 y más años (027)",9161,8918,243
"Hombres (028)",4703,4647,56
"Mujeres (029)",4458,4271,187
,,,
"RURAL (030)",9285,8904,381
"Hombres (031)",4901,4725,176
"Mujeres (032)",4384,4179,205
"De 18 a 29 años (033)",2979,2770,209
"Hombres (034)",1564,1452,112
"Mujeres (035)",1415,1318,97
"De 30 a 44 años (036)",2644,2590,54
"Hombres (037)",1387,1370,17
"Mujeres (038)",1257,1220,37
"De 45 a 64 años (039)",2508,2465,43
"Hombres (040)",1318,1300,18
"Mujeres (041)",1190,1165,25
"De 65 y más años (042)",1154,1079,75
"Hombres (043)",632,603,29
"Mujeres (044)",522,476,46
