"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",7786,6690,5304,273,1113,1096,14,163,902,17
"Casa independiente (001)",7485,6457,5118,264,1075,1028,14,162,836,16
"Vivienda en quinta (003)",16,15,15,,,1,,1,,
"Vivienda en casa de vecindad (004)",112,112,110,2,,,,,,
"Choza o cabaña (005)",171,104,61,6,37,67,,,66,1
"Vivienda improvisada (006)",2,2,,1,1,,,,,
,,,,,,,,,,
"URBANA (009)",1097,1032,931,63,38,65,,19,45,1
"Casa independiente (010)",967,903,806,60,37,64,,18,45,1
"Vivienda en quinta (012)",16,15,15,,,1,,1,,
"Vivienda en casa de vecindad (013)",112,112,110,2,,,,,,
"Vivienda improvisada (015)",2,2,,1,1,,,,,
,,,,,,,,,,
"RURAL (018)",6689,5658,4373,210,1075,1031,14,144,857,16
"Casa independiente (019)",6518,5554,4312,204,1038,964,14,144,791,15
"Choza o cabaña (023)",171,104,61,6,37,67,,,66,1
