"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANDAHUAYLAS (000)",143846,2779,51066,36222,25940,18184,9655
"Hombres (001)",70223,1379,26091,17712,12461,8559,4021
"Mujeres (002)",73623,1400,24975,18510,13479,9625,5634
"Viviendas particulares (003)",142511,2760,50893,35491,25657,18093,9617
"Hombres (004)",69362,1368,26020,17217,12254,8498,4005
"Mujeres (005)",73149,1392,24873,18274,13403,9595,5612
"Viviendas colectivas (006)",1186,19,166,643,248,77,33
"Hombres (007)",768,11,68,446,181,49,13
"Mujeres (008)",418,8,98,197,67,28,20
"Otro tipo (009)",149,,7,88,35,14,5
"Hombres (010)",93,,3,49,26,12,3
"Mujeres (011)",56,,4,39,9,2,2
,,,,,,,
"URBANA (012)",64704,1206,21513,17738,12908,7848,3491
"Hombres (013)",31539,605,10939,8525,6194,3812,1464
"Mujeres (014)",33165,601,10574,9213,6714,4036,2027
"Viviendas particulares (015)",63451,1188,21343,17055,12650,7761,3454
"Hombres (016)",30742,595,10870,8068,6007,3754,1448
"Mujeres (017)",32709,593,10473,8987,6643,4007,2006
"Viviendas colectivas (018)",1124,18,163,606,232,73,32
"Hombres (019)",724,10,66,419,170,46,13
"Mujeres (020)",400,8,97,187,62,27,19
"Otro tipo (021)",129,,7,77,26,14,5
"Hombres (022)",73,,3,38,17,12,3
"Mujeres (023)",56,,4,39,9,2,2
,,,,,,,
"RURAL (024)",79142,1573,29553,18484,13032,10336,6164
"Hombres (025)",38684,774,15152,9187,6267,4747,2557
"Mujeres (026)",40458,799,14401,9297,6765,5589,3607
"Viviendas particulares (027)",79060,1572,29550,18436,13007,10332,6163
"Hombres (028)",38620,773,15150,9149,6247,4744,2557
"Mujeres (029)",40440,799,14400,9287,6760,5588,3606
"Viviendas colectivas (030)",62,1,3,37,16,4,1
"Hombres (031)",44,1,2,27,11,3,
"Mujeres (032)",18,,1,10,5,1,1
"Otro tipo (033)",20,,,11,9,,
"Hombres (034)",20,,,11,9,,
