"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OYON (000)",253,3,153,59,31,7
"Conviviente (001)",63,,38,18,6,1
"Separado(a) (002)",10,,2,6,2,
"Casado(a) (003)",48,,4,20,18,6
"Viudo(a) (004)",1,,,,1,
"Soltero(a) (006)",131,3,109,15,4,
"Hombres (008)",202,3,118,47,29,5
"Conviviente (009)",51,,32,13,5,1
"Separado(a) (010)",7,,1,4,2,
"Casado(a) (011)",43,,4,18,17,4
"Viudo(a) (012)",1,,,,1,
"Soltero(a) (014)",100,3,81,12,4,
"Mujeres (016)",51,,35,12,2,2
"Conviviente (017)",12,,6,5,1,
"Separado(a) (018)",3,,1,2,,
"Casado(a) (019)",5,,,2,1,2
"Soltero(a) (022)",31,,28,3,,
,,,,,,
"AREA URBANA (024)",167,1,97,44,21,4
"Conviviente (025)",48,,30,15,3,
"Separado(a) (026)",4,,,4,,
"Casado(a) (027)",38,,3,17,14,4
"Viudo(a) (028)",1,,,,1,
"Soltero(a) (030)",76,1,64,8,3,
"Hombres (032)",130,1,73,34,19,3
"Conviviente (033)",37,,25,10,2,
"Separado(a) (034)",3,,,3,,
"Casado(a) (035)",34,,3,15,13,3
"Viudo(a) (036)",1,,,,1,
"Soltero(a) (038)",55,1,45,6,3,
"Mujeres (040)",37,,24,10,2,1
"Conviviente (041)",11,,5,5,1,
"Separado(a) (042)",1,,,1,,
"Casado(a) (043)",4,,,2,1,1
"Soltero(a) (046)",21,,19,2,,
,,,,,,
"AREA RURAL (048)",86,2,56,15,10,3
"Conviviente (049)",15,,8,3,3,1
"Separado(a) (050)",6,,2,2,2,
"Casado(a) (051)",10,,1,3,4,2
"Soltero(a) (054)",55,2,45,7,1,
"Hombres (056)",72,2,45,13,10,2
"Conviviente (057)",14,,7,3,3,1
"Separado(a) (058)",4,,1,1,2,
"Casado(a) (059)",9,,1,3,4,1
"Soltero(a) (062)",45,2,36,6,1,
"Mujeres (064)",14,,11,2,,1
"Conviviente (065)",1,,1,,,
"Separado(a) (066)",2,,1,1,,
"Casado(a) (067)",1,,,,,1
"Soltero(a) (070)",10,,9,1,,
