"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CONDESUYOS (000)",18991,5432,3820,683,9230
"Menos de 1 año (001)",318,242,22,3,51
"De 1 a 14 años (002)",5115,3386,556,74,1104
"De 15 a 29 años (003)",4773,889,1012,172,2768
"De 30 a 44 años (004)",4225,393,1363,228,2323
"De 45 a 64 años (005)",2997,314,726,144,1832
"De 65 y mas años (006)",1563,208,141,62,1152
"Hombres (008)",10539,2607,2730,492,4868
"Menos de 1 año (009)",159,123,10,1,25
"De 1 a 14 años (010)",2572,1709,268,37,560
"De 15 a 29 años (011)",2820,378,832,143,1534
"De 30 a 44 años (012)",2607,162,1025,183,1312
"De 45 a 64 años (013)",1681,144,516,95,940
"De 65 y mas años (014)",700,91,79,33,497
"Mujeres (016)",8452,2825,1090,191,4362
"Menos de 1 año (017)",159,119,12,2,26
"De 1 a 14 años (018)",2543,1677,288,37,544
"De 15 a 29 años (019)",1953,511,180,29,1234
"De 30 a 44 años (020)",1618,231,338,45,1011
"De 45 a 64 años (021)",1316,170,210,49,892
"De 65 y mas años (022)",863,117,62,29,655
,,,,,
"URBANA (024)",7764,1914,1972,407,3503
"Menos de 1 año (025)",125,90,17,3,15
"De 1 a 14 años (026)",2256,1248,493,62,458
"De 15 a 29 años (027)",1891,341,363,92,1104
"De 30 a 44 años (028)",1625,109,551,123,854
"De 45 a 64 años (029)",1287,76,461,86,670
"De 65 y mas años (030)",580,50,87,41,402
"Hombres (032)",3979,928,1089,263,1717
"Menos de 1 año (033)",67,51,7,1,8
"De 1 a 14 años (034)",1143,637,238,30,240
"De 15 a 29 años (035)",990,149,228,69,552
"De 30 a 44 años (036)",822,37,273,86,432
"De 45 a 64 años (037)",718,36,296,56,332
"De 65 y mas años (038)",239,18,47,21,153
"Mujeres (040)",3785,986,883,144,1786
"Menos de 1 año (041)",58,39,10,2,7
"De 1 a 14 años (042)",1113,611,255,32,218
"De 15 a 29 años (043)",901,192,135,23,552
"De 30 a 44 años (044)",803,72,278,37,422
"De 45 a 64 años (045)",569,40,165,30,338
"De 65 y mas años (046)",341,32,40,20,249
,,,,,
"RURAL (048)",11227,3518,1848,276,5727
"Menos de 1 año (049)",193,152,5,,36
"De 1 a 14 años (050)",2859,2138,63,12,646
"De 15 a 29 años (051)",2882,548,649,80,1664
"De 30 a 44 años (052)",2600,284,812,105,1469
"De 45 a 64 años (053)",1710,238,265,58,1162
"De 65 y mas años (054)",983,158,54,21,750
"Hombres (056)",6560,1679,1641,229,3151
"Menos de 1 año (057)",92,72,3,,17
"De 1 a 14 años (058)",1429,1072,30,7,320
"De 15 a 29 años (059)",1830,229,604,74,982
"De 30 a 44 años (060)",1785,125,752,97,880
"De 45 a 64 años (061)",963,108,220,39,608
"De 65 y mas años (062)",461,73,32,12,344
"Mujeres (064)",4667,1839,207,47,2576
"Menos de 1 año (065)",101,80,2,,19
"De 1 a 14 años (066)",1430,1066,33,5,326
"De 15 a 29 años (067)",1052,319,45,6,682
"De 30 a 44 años (068)",815,159,60,8,589
"De 45 a 64 años (069)",747,130,45,19,554
"De 65 y mas años (070)",522,85,22,9,406
