"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia DATEM DEL MARAÑON (000)",38541,17545,2166,508,18443
"Hombres (001)",19760,8423,1168,404,9879
"Mujeres (002)",18781,9122,998,104,8564
"PEA (003)",16175,4714,1002,196,10296
"Hombres (004)",10026,2485,681,146,6745
"Mujeres (005)",6149,2229,321,50,3551
"Ocupada (006)",15850,4648,987,192,10056
"Hombres (007)",9754,2439,669,142,6535
"Mujeres (008)",6096,2209,318,50,3521
"Desocupada (009)",325,66,15,4,240
"Hombres (010)",272,46,12,4,210
"Mujeres (011)",53,20,3,,30
"No PEA (012)",22366,12831,1164,312,8147
"Hombres (013)",9734,5938,487,258,3134
"Mujeres (014)",12632,6893,677,54,5013
,,,,,
"URBANA (018)",11030,3742,1106,185,6008
"Hombres (019)",5573,1780,575,121,3105
"Mujeres (020)",5457,1962,531,64,2903
"PEA (021)",4278,747,483,100,2950
"Hombres (022)",2759,417,312,81,1951
"Mujeres (023)",1519,330,171,19,999
"Ocupada (024)",4116,722,474,97,2825
"Hombres (025)",2632,403,305,78,1848
"Mujeres (026)",1484,319,169,19,977
"Desocupada (027)",162,25,9,3,125
"Hombres (028)",127,14,7,3,103
"Mujeres (029)",35,11,2,,22
"No PEA (030)",6752,2995,623,85,3058
"Hombres (031)",2814,1363,263,40,1154
"Mujeres (032)",3938,1632,360,45,1904
,,,,,
"RURAL (036)",27511,13803,1060,323,12435
"Hombres (037)",14187,6643,593,283,6774
"Mujeres (038)",13324,7160,467,40,5661
"PEA (039)",11897,3967,519,96,7346
"Hombres (040)",7267,2068,369,65,4794
"Mujeres (041)",4630,1899,150,31,2552
"Ocupada (042)",11734,3926,513,95,7231
"Hombres (043)",7122,2036,364,64,4687
"Mujeres (044)",4612,1890,149,31,2544
"Desocupada (045)",163,41,6,1,115
"Hombres (046)",145,32,5,1,107
"Mujeres (047)",18,9,1,,8
"No PEA (048)",15614,9836,541,227,5089
"Hombres (049)",6920,4575,224,218,1980
"Mujeres (050)",8694,5261,317,9,3109
