"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia JAEN",,,,,,,,
"Hogares (001)",43673,31300,17597,6968,773,6809,2248,5683
"Ocupantes presentes (002)",182221,135570,73491,29165,3295,29483,9370,19714
"Casa independiente",,,,,,,,
"Hogares (004)",39094,28351,15501,6193,700,6268,1994,4991
"Ocupantes presentes (005)",165942,124293,66441,26473,3022,27433,8486,17690
"Departamento en edificio",,,,,,,,
"Hogares (007)",926,536,668,270,37,235,134,126
"Ocupantes presentes (008)",2816,1681,2141,925,128,920,469,329
"Vivienda en quinta",,,,,,,,
"Hogares (010)",1263,635,816,305,24,181,68,235
"Ocupantes presentes (011)",3957,2116,2765,1069,94,686,226,599
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",862,455,557,171,11,117,46,144
"Ocupantes presentes (014)",2741,1462,1892,583,47,415,172,409
"Choza o cabaña",,,,,,,,
"Hogares (016)",1456,1287,33,19,,2,,163
"Ocupantes presentes (017)",6540,5897,171,85,,13,,618
"Vivienda improvisada",,,,,,,,
"Hogares (019)",26,14,7,3,1,4,3,8
"Ocupantes presentes (020)",85,48,26,10,4,12,12,25
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",42,20,14,7,,2,3,14
"Ocupantes presentes (023)",124,67,51,20,,4,5,34
"Otro tipo",,,,,,,,
"Hogares (025)",4,2,1,,,,,2
"Ocupantes presentes (026)",16,6,4,,,,,10
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",23216,13877,15625,6335,761,6400,2229,3100
"Ocupantes presentes (029)",90857,55894,64321,26277,3241,27633,9292,9991
"Casa independiente",,,,,,,,
"Hogares (031)",20104,12221,13563,5580,688,5861,1975,2576
"Ocupantes presentes (032)",81154,50536,57447,23675,2968,25596,8408,8599
"Departamento en edificio",,,,,,,,
"Hogares (034)",926,536,668,270,37,235,134,126
"Ocupantes presentes (035)",2816,1681,2141,925,128,920,469,329
"Vivienda en quinta",,,,,,,,
"Hogares (037)",1263,635,816,305,24,181,68,235
"Ocupantes presentes (038)",3957,2116,2765,1069,94,686,226,599
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",862,455,557,171,11,117,46,144
"Ocupantes presentes (041)",2741,1462,1892,583,47,415,172,409
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",26,14,7,3,1,4,3,8
"Ocupantes presentes (047)",85,48,26,10,4,12,12,25
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",32,15,13,6,,2,3,9
"Ocupantes presentes (050)",90,47,46,15,,4,5,20
"Otro tipo",,,,,,,,
"Hogares (052)",3,1,1,,,,,2
"Ocupantes presentes (053)",14,4,4,,,,,10
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",20457,17423,1972,633,12,409,19,2583
"Ocupantes presentes (056)",91364,79676,9170,2888,54,1850,78,9723
"Casa independiente",,,,,,,,
"Hogares (058)",18990,16130,1938,613,12,407,19,2415
"Ocupantes presentes (059)",84788,73757,8994,2798,54,1837,78,9091
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1456,1287,33,19,,2,,163
"Ocupantes presentes (071)",6540,5897,171,85,,13,,618
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",10,5,1,1,,,,5
"Ocupantes presentes (077)",34,20,5,5,,,,14
"Otro tipo",,,,,,,,
"Hogares (079)",1,1,,,,,,
"Ocupantes presentes (080)",2,2,,,,,,
