"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BONGARA (000)",26676,493,8778,6827,5280,3601,1697
"Jefe o Jefa (001)",6608,,17,1050,2440,2085,1016
"Esposa(o) / compañera(o) (002)",4402,,8,1155,1785,1103,351
"Hijo(a) / hijastro(a) (003)",11494,342,7040,3429,554,124,5
"Yerno / nuera (004)",363,,6,255,85,17,
"Nieto(a) (005)",1395,100,1085,194,16,,
"Padres / suegros (006)",297,,,,12,69,216
"Otro(a) pariente (007)",1597,46,556,509,252,140,94
"Trabajador(a) del hogar (008)",48,,2,41,2,2,1
"Pensionistas (009)",36,,1,16,14,5,
"Otro(a) no pariente (010)",436,5,63,178,120,56,14
"Hombres (011)",13542,258,4456,3525,2671,1853,779
"Jefe o Jefa (012)",4988,,10,788,1958,1580,652
"Esposa(o) / compañera(o) (013)",224,,2,50,84,60,28
"Hijo(a) / hijastro(a) (014)",6160,175,3581,2028,312,60,4
"Yerno / nuera (015)",164,,2,94,57,11,
"Nieto(a) (016)",716,55,537,114,10,,
"Padres / suegros (017)",79,,,,4,21,54
"Otro(a) pariente (018)",895,25,286,329,149,72,34
"Trabajador(a) del hogar (019)",1,,,1,,,
"Pensionistas (020)",29,,1,10,14,4,
"Otro(a) no pariente (021)",286,3,37,111,83,45,7
"Mujeres (022)",13134,235,4322,3302,2609,1748,918
"Jefe o Jefa (023)",1620,,7,262,482,505,364
"Esposa(o) / compañera(o) (024)",4178,,6,1105,1701,1043,323
"Hijo(a) / hijastro(a) (025)",5334,167,3459,1401,242,64,1
"Yerno / nuera (026)",199,,4,161,28,6,
"Nieto(a) (027)",679,45,548,80,6,,
"Padres / suegros (028)",218,,,,8,48,162
"Otro(a) pariente (029)",702,21,270,180,103,68,60
"Trabajador(a) del hogar (030)",47,,2,40,2,2,1
"Pensionistas (031)",7,,,6,,1,
"Otro(a) no pariente (032)",150,2,26,67,37,11,7
,,,,,,,
"URBANA (033)",15732,270,4911,3884,3306,2276,1085
"Jefe o Jefa (034)",4036,,12,569,1499,1318,638
"Esposa(o) / compañera(o) (035)",2564,,5,586,1089,662,222
"Hijo(a) / hijastro(a) (036)",6427,188,3808,1982,360,87,2
"Yerno / nuera (037)",215,,3,139,61,12,
"Nieto(a) (038)",880,54,692,124,10,,
"Padres / suegros (039)",212,,,,8,48,156
"Otro(a) pariente (040)",1007,23,347,299,176,105,57
"Trabajador(a) del hogar (041)",40,,2,34,2,1,1
"Pensionistas (042)",28,,,13,12,3,
"Otro(a) no pariente (043)",323,5,42,138,89,40,9
"Hombres (044)",7862,144,2497,1952,1625,1161,483
"Jefe o Jefa (045)",2941,,8,402,1160,974,397
"Esposa(o) / compañera(o) (046)",132,,1,27,44,40,20
"Hijo(a) / hijastro(a) (047)",3382,91,1932,1117,199,41,2
"Yerno / nuera (048)",109,,2,55,44,8,
"Nieto(a) (049)",458,36,346,71,5,,
"Padres / suegros (050)",55,,,,2,14,39
"Otro(a) pariente (051)",555,14,181,189,100,51,20
"Trabajador(a) del hogar (052)",1,,,1,,,
"Pensionistas (053)",23,,,9,12,2,
"Otro(a) no pariente (054)",206,3,27,81,59,31,5
"Mujeres (055)",7870,126,2414,1932,1681,1115,602
"Jefe o Jefa (056)",1095,,4,167,339,344,241
"Esposa(o) / compañera(o) (057)",2432,,4,559,1045,622,202
"Hijo(a) / hijastro(a) (058)",3045,97,1876,865,161,46,
"Yerno / nuera (059)",106,,1,84,17,4,
"Nieto(a) (060)",422,18,346,53,5,,
"Padres / suegros (061)",157,,,,6,34,117
"Otro(a) pariente (062)",452,9,166,110,76,54,37
"Trabajador(a) del hogar (063)",39,,2,33,2,1,1
"Pensionistas (064)",5,,,4,,1,
"Otro(a) no pariente (065)",117,2,15,57,30,9,4
,,,,,,,
"RURAL (066)",10944,223,3867,2943,1974,1325,612
"Jefe o Jefa (067)",2572,,5,481,941,767,378
"Esposa(o) / compañera(o) (068)",1838,,3,569,696,441,129
"Hijo(a) / hijastro(a) (069)",5067,154,3232,1447,194,37,3
"Yerno / nuera (070)",148,,3,116,24,5,
"Nieto(a) (071)",515,46,393,70,6,,
"Padres / suegros (072)",85,,,,4,21,60
"Otro(a) pariente (073)",590,23,209,210,76,35,37
"Trabajador(a) del hogar (074)",8,,,7,,1,
"Pensionistas (075)",8,,1,3,2,2,
"Otro(a) no pariente (076)",113,,21,40,31,16,5
"Hombres (077)",5680,114,1959,1573,1046,692,296
"Jefe o Jefa (078)",2047,,2,386,798,606,255
"Esposa(o) / compañera(o) (079)",92,,1,23,40,20,8
"Hijo(a) / hijastro(a) (080)",2778,84,1649,911,113,19,2
"Yerno / nuera (081)",55,,,39,13,3,
"Nieto(a) (082)",258,19,191,43,5,,
"Padres / suegros (083)",24,,,,2,7,15
"Otro(a) pariente (084)",340,11,105,140,49,21,14
"Pensionistas (086)",6,,1,1,2,2,
"Otro(a) no pariente (087)",80,,10,30,24,14,2
"Mujeres (088)",5264,109,1908,1370,928,633,316
"Jefe o Jefa (089)",525,,3,95,143,161,123
"Esposa(o) / compañera(o) (090)",1746,,2,546,656,421,121
"Hijo(a) / hijastro(a) (091)",2289,70,1583,536,81,18,1
"Yerno / nuera (092)",93,,3,77,11,2,
"Nieto(a) (093)",257,27,202,27,1,,
"Padres / suegros (094)",61,,,,2,14,45
"Otro(a) pariente (095)",250,12,104,70,27,14,23
"Trabajador(a) del hogar (096)",8,,,7,,1,
"Pensionistas (097)",2,,,2,,,
"Otro(a) no pariente (098)",33,,11,10,7,2,3
