"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MARISCAL CACERES (000)",20469,2986,3238,10140,748,2525,832
"Sin nivel (001)",812,11,197,382,30,153,39
"Educación inicial (002)",23,1,3,4,,14,1
"Primaria (003)",9307,166,1611,5244,406,1441,439
"Secundaria (004)",7064,803,1246,3638,243,830,304
"Superior no univ. incompleta (005)",747,336,65,267,21,31,27
"Superior no univ. completa (006)",1267,865,57,281,21,28,15
"Superior univ. incompleta (007)",407,201,30,143,11,18,4
"Superior univ. completa (008)",842,603,29,181,16,10,3
"Hombres (010)",15061,1692,2814,8272,662,1584,37
"Sin nivel (011)",532,6,151,286,25,64,
"Educación inicial (012)",14,1,2,4,,7,
"Primaria (013)",7136,84,1390,4390,374,880,18
"Secundaria (014)",5350,501,1102,2935,210,589,13
"Superior no univ. incompleta (015)",479,181,57,205,17,15,4
"Superior no univ. completa (016)",713,437,55,195,12,13,1
"Superior univ. incompleta (017)",285,122,28,115,9,11,
"Superior univ. completa (018)",552,360,29,142,15,5,1
"Mujeres (020)",5408,1294,424,1868,86,941,795
"Sin nivel (021)",280,5,46,96,5,89,39
"Educación inicial (022)",9,,1,,,7,1
"Primaria (023)",2171,82,221,854,32,561,421
"Secundaria (024)",1714,302,144,703,33,241,291
"Superior no univ. incompleta (025)",268,155,8,62,4,16,23
"Superior no univ. completa (026)",554,428,2,86,9,15,14
"Superior univ. incompleta (027)",122,79,2,28,2,7,4
"Superior univ. completa (028)",290,243,,39,1,5,2
,,,,,,,
"URBANA (030)",12879,2823,1678,6293,321,1108,656
"Sin nivel (031)",290,7,36,159,6,55,27
"Educación inicial (032)",16,1,2,3,,10,
"Primaria (033)",4496,146,678,2682,121,551,318
"Secundaria (034)",5107,790,831,2660,135,423,268
"Superior no univ. incompleta (035)",664,316,52,233,18,23,22
"Superior no univ. completa (036)",1151,787,45,262,19,24,14
"Superior univ. incompleta (037)",356,193,18,119,7,15,4
"Superior univ. completa (038)",799,583,16,175,15,7,3
"Hombres (040)",8779,1595,1428,4836,263,627,30
"Sin nivel (041)",154,4,22,106,5,17,
"Educación inicial (042)",10,1,1,3,,5,
"Primaria (043)",3159,76,560,2093,104,313,13
"Secundaria (044)",3653,490,726,2051,111,263,12
"Superior no univ. incompleta (045)",419,173,44,175,14,10,3
"Superior no univ. completa (046)",629,387,43,179,10,9,1
"Superior univ. incompleta (047)",240,118,16,93,5,8,
"Superior univ. completa (048)",515,346,16,136,14,2,1
"Mujeres (050)",4100,1228,250,1457,58,481,626
"Sin nivel (051)",136,3,14,53,1,38,27
"Educación inicial (052)",6,,1,,,5,
"Primaria (053)",1337,70,118,589,17,238,305
"Secundaria (054)",1454,300,105,609,24,160,256
"Superior no univ. incompleta (055)",245,143,8,58,4,13,19
"Superior no univ. completa (056)",522,400,2,83,9,15,13
"Superior univ. incompleta (057)",116,75,2,26,2,7,4
"Superior univ. completa (058)",284,237,,39,1,5,2
,,,,,,,
"RURAL (060)",7590,163,1560,3847,427,1417,176
"Sin nivel (061)",522,4,161,223,24,98,12
"Educación inicial (062)",7,,1,1,,4,1
"Primaria (063)",4811,20,933,2562,285,890,121
"Secundaria (064)",1957,13,415,978,108,407,36
"Superior no univ. incompleta (065)",83,20,13,34,3,8,5
"Superior no univ. completa (066)",116,78,12,19,2,4,1
"Superior univ. incompleta (067)",51,8,12,24,4,3,
"Superior univ. completa (068)",43,20,13,6,1,3,
"Hombres (070)",6282,97,1386,3436,399,957,7
"Sin nivel (071)",378,2,129,180,20,47,
"Educación inicial (072)",4,,1,1,,2,
"Primaria (073)",3977,8,830,2297,270,567,5
"Secundaria (074)",1697,11,376,884,99,326,1
"Superior no univ. incompleta (075)",60,8,13,30,3,5,1
"Superior no univ. completa (076)",84,50,12,16,2,4,
"Superior univ. incompleta (077)",45,4,12,22,4,3,
"Superior univ. completa (078)",37,14,13,6,1,3,
"Mujeres (080)",1308,66,174,411,28,460,169
"Sin nivel (081)",144,2,32,43,4,51,12
"Educación inicial (082)",3,,,,,2,1
"Primaria (083)",834,12,103,265,15,323,116
"Secundaria (084)",260,2,39,94,9,81,35
"Superior no univ. incompleta (085)",23,12,,4,,3,4
"Superior no univ. completa (086)",32,28,,3,,,1
"Superior univ. incompleta (087)",6,4,,2,,,
"Superior univ. completa (088)",6,6,,,,,
