"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CANGALLO (000)",9608,60,213,570,990,1703,3348,2724
"De 12 a 14 años (001)",11,,,,,,,11
"De 15 a 19 años (002)",274,,,,,,163,111
"De 20 a 24 años (003)",917,,,,,3,568,346
"De 25 a 29 años (004)",1061,,,,,45,732,284
"De 30 a 34 años (005)",1055,,,,,126,692,237
"De 35 a 39 años (006)",965,,,,3,248,543,171
"De 40 a 44 años (007)",893,,,,22,330,372,169
"De 45 a 49 años (008)",757,,,2,68,349,218,120
"De 50 y más años (009)",3675,60,213,568,897,602,60,1275
"Sin nivel (010)",4114,54,187,496,757,758,527,1335
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",5,,,,,,3,2
"De 20 a 24 años (013)",34,,,,,,19,15
"De 25 a 29 años (014)",88,,,,,3,63,22
"De 30 a 34 años (015)",134,,,,,14,83,37
"De 35 a 39 años (016)",183,,,,1,44,89,49
"De 40 a 44 años (017)",318,,,,5,118,114,81
"De 45 a 49 años (018)",377,,,1,30,167,120,59
"De 50 y más años (019)",2974,54,187,495,721,412,36,1069
"Educacion Inicial (020)",23,,,,,3,12,8
"De 15 a 19 años (022)",5,,,,,,2,3
"De 25 a 29 años (024)",4,,,,,1,1,2
"De 30 a 34 años (025)",11,,,,,2,7,2
"De 35 a 39 años (026)",3,,,,,,2,1
"Primaria (030)",3800,4,23,65,181,734,1959,834
"De 12 a 14 años (031)",8,,,,,,,8
"De 15 a 19 años (032)",144,,,,,,91,53
"De 20 a 24 años (033)",491,,,,,2,319,170
"De 25 a 29 años (034)",599,,,,,25,448,126
"De 30 a 34 años (035)",622,,,,,70,432,120
"De 35 a 39 años (036)",568,,,,1,150,342,75
"De 40 a 44 años (037)",476,,,,15,171,222,68
"De 45 a 49 años (038)",300,,,1,22,148,83,46
"De 50 y más años (039)",592,4,23,64,143,168,22,168
"Secundaria (040)",1184,,3,7,23,121,661,369
"De 12 a 14 años (041)",2,,,,,,,2
"De 15 a 19 años (042)",120,,,,,,67,53
"De 20 a 24 años (043)",344,,,,,1,209,134
"De 25 a 29 años (044)",268,,,,,10,173,85
"De 30 a 34 años (045)",173,,,,,22,112,39
"De 35 a 39 años (046)",132,,,,,36,71,25
"De 40 a 44 años (047)",43,,,,1,19,19,4
"De 45 a 49 años (048)",45,,,,7,20,9,9
"De 50 y más años (049)",57,,3,7,15,13,1,18
"Sup. no Univ. incompleta (050)",97,1,,,1,17,41,37
"De 20 a 24 años (053)",28,,,,,,11,17
"De 25 a 29 años (054)",23,,,,,1,13,9
