"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LAMPA (000)",42853,9542,13171,8883,7354,3903
"Hombres (001)",21334,4841,6704,4424,3539,1826
"Mujeres (002)",21519,4701,6467,4459,3815,2077
"PEA (003)",15813,150,5030,5269,4101,1263
"Hombres (004)",10348,78,3242,3584,2649,795
"Mujeres (005)",5465,72,1788,1685,1452,468
"Ocupada (006)",13785,125,3998,4649,3817,1196
"Hombres (007)",8765,62,2494,3074,2400,735
"Mujeres (008)",5020,63,1504,1575,1417,461
"Desocupada (009)",2028,25,1032,620,284,67
"Hombres (010)",1583,16,748,510,249,60
"Mujeres (011)",445,9,284,110,35,7
"No PEA (012)",27040,9392,8141,3614,3253,2640
"Hombres (013)",10986,4763,3462,840,890,1031
"Mujeres (014)",16054,4629,4679,2774,2363,1609
,,,,,,
"URBANA (018)",16512,3706,5617,3577,2467,1145
"Hombres (019)",8105,1849,2792,1717,1232,515
"Mujeres (020)",8407,1857,2825,1860,1235,630
"PEA (021)",5620,57,1852,2063,1364,284
"Hombres (022)",3634,27,1181,1351,899,176
"Mujeres (023)",1986,30,671,712,465,108
"Ocupada (024)",4817,51,1421,1792,1285,268
"Hombres (025)",3018,23,875,1129,830,161
"Mujeres (026)",1799,28,546,663,455,107
"Desocupada (027)",803,6,431,271,79,16
"Hombres (028)",616,4,306,222,69,15
"Mujeres (029)",187,2,125,49,10,1
"No PEA (030)",10892,3649,3765,1514,1103,861
"Hombres (031)",4471,1822,1611,366,333,339
"Mujeres (032)",6421,1827,2154,1148,770,522
,,,,,,
"RURAL (036)",26341,5836,7554,5306,4887,2758
"Hombres (037)",13229,2992,3912,2707,2307,1311
"Mujeres (038)",13112,2844,3642,2599,2580,1447
"PEA (039)",10193,93,3178,3206,2737,979
"Hombres (040)",6714,51,2061,2233,1750,619
"Mujeres (041)",3479,42,1117,973,987,360
"Ocupada (042)",8968,74,2577,2857,2532,928
"Hombres (043)",5747,39,1619,1945,1570,574
"Mujeres (044)",3221,35,958,912,962,354
"Desocupada (045)",1225,19,601,349,205,51
"Hombres (046)",967,12,442,288,180,45
"Mujeres (047)",258,7,159,61,25,6
"No PEA (048)",16148,5743,4376,2100,2150,1779
"Hombres (049)",6515,2941,1851,474,557,692
"Mujeres (050)",9633,2802,2525,1626,1593,1087
