"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia BOLIVAR (000)",8436,1491,2825,2294,1826
"Asiste actualmente (001)",5106,506,2478,1718,404
"No asiste (002)",3330,985,347,576,1422
"Hombres (004)",4405,788,1450,1216,951
"Asiste actualmente (005)",2703,259,1270,921,253
"No asiste (006)",1702,529,180,295,698
"Mujeres (008)",4031,703,1375,1078,875
"Asiste actualmente (009)",2403,247,1208,797,151
"No asiste (010)",1628,456,167,281,724
,,,,,
"URBANA (012)",2740,427,875,849,589
"Asiste actualmente (013)",2023,228,827,753,215
"No asiste (014)",717,199,48,96,374
"Hombres (016)",1390,224,446,420,300
"Asiste actualmente (017)",1042,114,425,375,128
"No asiste (018)",348,110,21,45,172
"Mujeres (020)",1350,203,429,429,289
"Asiste actualmente (021)",981,114,402,378,87
"No asiste (022)",369,89,27,51,202
,,,,,
"RURAL (024)",5696,1064,1950,1445,1237
"Asiste actualmente (025)",3083,278,1651,965,189
"No asiste (026)",2613,786,299,480,1048
"Hombres (028)",3015,564,1004,796,651
"Asiste actualmente (029)",1661,145,845,546,125
"No asiste (030)",1354,419,159,250,526
"Mujeres (032)",2681,500,946,649,586
"Asiste actualmente (033)",1422,133,806,419,64
"No asiste (034)",1259,367,140,230,522
