"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia MANU",,,,,,,,,
"Viviendas particulares (001)",4749,464,23,3694,29,23,1,13,502
"Ocupantes presentes (002)",18562,1703,109,14309,75,96,4,62,2204
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4022,447,13,3264,21,10,1,13,253
"Ocupantes presentes (005)",15495,1653,64,12497,48,42,4,62,1125
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",40,2,,38,,,,,
"Ocupantes presentes (011)",144,10,,134,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",59,12,,47,,,,,
"Ocupantes presentes (014)",199,30,,169,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",514,,10,272,8,13,,,211
"Ocupantes presentes (017)",2388,,45,1312,27,54,,,950
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",56,,,55,,,,,1
"Ocupantes presentes (020)",148,,,147,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",22,3,,18,,,,,1
"Ocupantes presentes (023)",61,10,,50,,,,,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",36,,,,,,,,36
"Ocupantes presentes (026)",127,,,,,,,,127
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1843,425,10,1385,,1,,9,13
"Ocupantes presentes (029)",7013,1537,43,5358,,2,,46,27
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1670,408,10,1233,,1,,9,9
"Ocupantes presentes (032)",6478,1487,43,4879,,2,,46,21
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",40,2,,38,,,,,
"Ocupantes presentes (038)",144,10,,134,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",59,12,,47,,,,,
"Ocupantes presentes (041)",199,30,,169,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",56,,,55,,,,,1
"Ocupantes presentes (047)",148,,,147,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",15,3,,12,,,,,
"Ocupantes presentes (050)",39,10,,29,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",3,,,,,,,,3
"Ocupantes presentes (053)",5,,,,,,,,5
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",2906,39,13,2309,29,22,1,4,489
"Ocupantes presentes (056)",11549,166,66,8951,75,94,4,16,2177
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",2352,39,3,2031,21,9,1,4,244
"Ocupantes presentes (059)",9017,166,21,7618,48,40,4,16,1104
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",514,,10,272,8,13,,,211
"Ocupantes presentes (071)",2388,,45,1312,27,54,,,950
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",7,,,6,,,,,1
"Ocupantes presentes (077)",22,,,21,,,,,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",33,,,,,,,,33
"Ocupantes presentes (080)",122,,,,,,,,122
