"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TAYACAJA (000)",30831,27510,1918,546,857
"Empleado (001)",2263,724,464,386,689
"Obrero (002)",7366,6516,551,137,162
"Trabajador independiente (003)",14164,13648,516,,
"Empleador o patrono (004)",533,453,69,9,2
"Trabajador familiar no remunerado (005)",6264,5928,318,14,4
"Trabajador del hogar (006)",241,241,,,
"De 06 a 14 años (008)",707,657,46,4,
"Empleado (009)",19,14,4,1,
"Obrero (010)",102,93,7,2,
"Trabajador independiente (011)",90,86,4,,
"Trabajador familiar no remunerado (013)",484,452,31,1,
"Trabajador del hogar (014)",12,12,,,
"De 15 a 29 años (016)",9788,8700,640,129,319
"Empleado (017)",752,302,119,70,261
"Obrero (018)",2440,2123,211,48,58
"Trabajador independiente (019)",3732,3575,157,,
"Empleador o patrono (020)",113,91,17,5,
"Trabajador familiar no remunerado (021)",2629,2487,136,6,
"Trabajador del hogar (022)",122,122,,,
"De 30 a 44 años (024)",10199,8858,721,270,350
"Empleado (025)",1020,270,249,216,285
"Obrero (026)",2390,2093,182,50,65
"Trabajador independiente (027)",4906,4720,186,,
"Empleador o patrono (028)",180,156,22,2,
"Trabajador familiar no remunerado (029)",1643,1559,82,2,
"Trabajador del hogar (030)",60,60,,,
"De 45 a 64 años (032)",7741,6989,436,140,176
"Empleado (033)",453,128,90,99,136
"Obrero (034)",1886,1689,127,34,36
"Trabajador independiente (035)",4009,3875,134,,
"Empleador o patrono (036)",187,158,26,2,1
"Trabajador familiar no remunerado (037)",1171,1104,59,5,3
"Trabajador del hogar (038)",35,35,,,
"De 65 y más años (040)",2396,2306,75,3,12
"Empleado (041)",19,10,2,,7
"Obrero (042)",548,518,24,3,3
"Trabajador independiente (043)",1427,1392,35,,
"Empleador o patrono (044)",53,48,4,,1
"Trabajador familiar no remunerado (045)",337,326,10,,1
"Trabajador del hogar (046)",12,12,,,
,,,,,
"URBANA (048)",8593,6712,770,437,674
"Empleado (049)",1588,423,263,337,565
"Obrero (050)",1686,1305,184,92,105
"Trabajador independiente (051)",3816,3606,210,,
"Empleador o patrono (052)",175,144,24,6,1
"Trabajador familiar no remunerado (053)",1174,1080,89,2,3
"Trabajador del hogar (054)",154,154,,,
