"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia VICTOR FAJARDO (000)",18906,2913,2715,3147,2870,2255,5006
"Conviviente (001)",2684,45,683,1069,512,202,173
"Separado(a) (002)",405,3,44,97,78,75,108
"Casado(a) (003)",8271,15,215,1307,1918,1657,3159
"Viudo(a) (004)",1692,,2,19,93,189,1389
"Divorciado(a) (005)",58,,1,7,9,11,30
"Soltero(a) (006)",5796,2850,1770,648,260,121,147
"Hombres (008)",9015,1487,1388,1577,1423,1039,2101
"Conviviente (009)",1349,18,252,579,294,108,98
"Separado(a) (010)",118,,5,21,23,28,41
"Casado(a) (011)",4141,10,75,592,969,832,1663
"Viudo(a) (012)",307,,,4,19,23,261
"Divorciado(a) (013)",20,,,3,1,7,9
"Soltero(a) (014)",3080,1459,1056,378,117,41,29
"Mujeres (016)",9891,1426,1327,1570,1447,1216,2905
"Conviviente (017)",1335,27,431,490,218,94,75
"Separado(a) (018)",287,3,39,76,55,47,67
"Casado(a) (019)",4130,5,140,715,949,825,1496
"Viudo(a) (020)",1385,,2,15,74,166,1128
"Divorciado(a) (021)",38,,1,4,8,4,21
"Soltero(a) (022)",2716,1391,714,270,143,80,118
,,,,,,,
"URBANA (024)",14176,2274,2057,2437,2209,1686,3513
"Conviviente (025)",2045,32,495,835,402,162,119
"Separado(a) (026)",305,2,32,72,58,59,82
"Casado(a) (027)",6076,12,151,991,1468,1228,2226
"Viudo(a) (028)",1195,,1,17,75,134,968
"Divorciado(a) (029)",45,,1,5,8,9,22
"Soltero(a) (030)",4510,2228,1377,517,198,94,96
"Hombres (032)",6831,1159,1074,1247,1095,783,1473
"Conviviente (033)",1033,12,183,454,229,88,67
"Separado(a) (034)",86,,5,18,15,17,31
"Casado(a) (035)",3060,9,52,463,742,623,1171
"Viudo(a) (036)",207,,,4,13,16,174
"Divorciado(a) (037)",16,,,2,1,6,7
"Soltero(a) (038)",2429,1138,834,306,95,33,23
"Mujeres (040)",7345,1115,983,1190,1114,903,2040
"Conviviente (041)",1012,20,312,381,173,74,52
"Separado(a) (042)",219,2,27,54,43,42,51
"Casado(a) (043)",3016,3,99,528,726,605,1055
"Viudo(a) (044)",988,,1,13,62,118,794
"Divorciado(a) (045)",29,,1,3,7,3,15
"Soltero(a) (046)",2081,1090,543,211,103,61,73
,,,,,,,
"RURAL (048)",4730,639,658,710,661,569,1493
"Conviviente (049)",639,13,188,234,110,40,54
"Separado(a) (050)",100,1,12,25,20,16,26
"Casado(a) (051)",2195,3,64,316,450,429,933
"Viudo(a) (052)",497,,1,2,18,55,421
"Divorciado(a) (053)",13,,,2,1,2,8
"Soltero(a) (054)",1286,622,393,131,62,27,51
"Hombres (056)",2184,328,314,330,328,256,628
"Conviviente (057)",316,6,69,125,65,20,31
"Separado(a) (058)",32,,,3,8,11,10
"Casado(a) (059)",1081,1,23,129,227,209,492
"Viudo(a) (060)",100,,,,6,7,87
"Divorciado(a) (061)",4,,,1,,1,2
"Soltero(a) (062)",651,321,222,72,22,8,6
"Mujeres (064)",2546,311,344,380,333,313,865
"Conviviente (065)",323,7,119,109,45,20,23
"Separado(a) (066)",68,1,12,22,12,5,16
"Casado(a) (067)",1114,2,41,187,223,220,441
"Viudo(a) (068)",397,,1,2,12,48,334
"Divorciado(a) (069)",9,,,1,1,1,6
"Soltero(a) (070)",635,301,171,59,40,19,45
