"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LAURICOCHA (000)",11609,11253,3694,1101,1114,1037,1540,1179,1588,356
"Católica (001)",9236,8932,3125,922,901,851,1213,879,1041,304
"Cristiana/Evangélica (002)",2286,2240,534,172,205,179,317,295,538,46
"Otra (003)",46,44,19,3,6,1,8,4,3,2
"Ninguna (004)",41,37,16,4,2,6,2,1,6,4
,,,,,,,,,,
"URBANA (006)",2859,2771,898,322,319,245,375,267,345,88
"Católica (007)",2257,2184,761,271,250,192,297,196,217,73
"Cristiana/Evangélica (008)",565,552,120,49,62,51,75,68,127,13
"Otra (009)",26,24,10,1,6,,3,3,1,2
"Ninguna (010)",11,11,7,1,1,2,,,,
,,,,,,,,,,
"RURAL (012)",8750,8482,2796,779,795,792,1165,912,1243,268
"Católica (013)",6979,6748,2364,651,651,659,916,683,824,231
"Cristiana/Evangélica (014)",1721,1688,414,123,143,128,242,227,411,33
"Otra (015)",20,20,9,2,,1,5,1,2,
"Ninguna (016)",30,26,9,3,1,4,2,1,6,4
