"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJAMARCA (000)",106196,72604,10772,9450,13370
"Sin nivel (001)",7060,6571,297,102,90
"Educación inicial (002)",149,125,14,5,5
"Primaria (003)",34930,30909,2201,897,923
"Secundaria (004)",31126,22444,3129,2359,3194
"Superior no univ. incompleta (005)",3835,2045,513,463,814
"Superior no univ. completa (006)",9725,3673,1634,1794,2624
"Superior univ. incompleta (007)",4188,2061,567,664,896
"Superior univ. completa (008)",15183,4776,2417,3166,4824
"De 06 a 14 años (010)",1563,1416,108,33,6
"Sin nivel (011)",88,81,5,2,
"Educación inicial (012)",27,27,,,
"Primaria (013)",1125,1034,71,15,5
"Secundaria (014)",323,274,32,16,1
"De 15 a 29 años (020)",39000,27540,4353,3371,3736
"Sin nivel (021)",930,845,58,18,9
"Educación inicial (022)",75,60,10,4,1
"Primaria (023)",11829,10413,847,287,282
"Secundaria (024)",15240,11376,1677,1154,1033
"Superior no univ. incompleta (025)",1842,1057,281,212,292
"Superior no univ. completa (026)",3275,1382,526,568,799
"Superior univ. incompleta (027)",2149,1119,325,370,335
"Superior univ. completa (028)",3660,1288,629,758,985
"De 30 a 44 años (030)",38287,23673,4259,4086,6269
"Sin nivel (031)",1759,1609,91,27,32
"Educación inicial (032)",47,38,4,1,4
"Primaria (033)",10903,9509,710,339,345
"Secundaria (034)",10466,7230,1000,817,1419
"Superior no univ. incompleta (035)",1441,715,172,187,367
"Superior no univ. completa (036)",4704,1663,863,873,1305
"Superior univ. incompleta (037)",1372,627,162,205,378
"Superior univ. completa (038)",7595,2282,1257,1637,2419
"De 45 a 64 años (040)",22762,15773,1881,1870,3238
"Sin nivel (041)",2748,2552,111,46,39
"Primaria (043)",8702,7707,490,233,272
"Secundaria (044)",4733,3269,396,352,716
"Superior no univ. incompleta (045)",515,256,54,60,145
"Superior no univ. completa (046)",1674,586,236,342,510
"Superior univ. incompleta (047)",647,303,79,87,178
"Superior univ. completa (048)",3743,1100,515,750,1378
"De 65 y más años (050)",4584,4202,171,90,121
"Sin nivel (051)",1535,1484,32,9,10
"Primaria (053)",2371,2246,83,23,19
"Secundaria (054)",364,295,24,20,25
"Superior no univ. incompleta (055)",37,17,6,4,10
