"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia YAROWILCA (000)",27200,8763,7064,4949,4384,2040
"Hombres (001)",13001,4391,3362,2267,1999,982
"Mujeres (002)",14199,4372,3702,2682,2385,1058
"PEA (003)",9886,593,2817,2958,2516,1002
"Hombres (004)",6573,332,1839,1986,1700,716
"Mujeres (005)",3313,261,978,972,816,286
"Ocupada (006)",9610,586,2658,2895,2479,992
"Hombres (007)",6362,327,1728,1932,1668,707
"Mujeres (008)",3248,259,930,963,811,285
"Desocupada (009)",276,7,159,63,37,10
"Hombres (010)",211,5,111,54,32,9
"Mujeres (011)",65,2,48,9,5,1
"No PEA (012)",17314,8170,4247,1991,1868,1038
"Hombres (013)",6428,4059,1523,281,299,266
"Mujeres (014)",10886,4111,2724,1710,1569,772
,,,,,,
"URBANA (018)",6721,1983,1923,1377,1017,421
"Hombres (019)",3296,1010,941,655,486,204
"Mujeres (020)",3425,973,982,722,531,217
"PEA (021)",2507,50,780,871,600,206
"Hombres (022)",1670,36,510,571,410,143
"Mujeres (023)",837,14,270,300,190,63
"Ocupada (024)",2373,48,702,838,583,202
"Hombres (025)",1571,34,458,544,395,140
"Mujeres (026)",802,14,244,294,188,62
"Desocupada (027)",134,2,78,33,17,4
"Hombres (028)",99,2,52,27,15,3
"Mujeres (029)",35,,26,6,2,1
"No PEA (030)",4214,1933,1143,506,417,215
"Hombres (031)",1626,974,431,84,76,61
"Mujeres (032)",2588,959,712,422,341,154
,,,,,,
"RURAL (036)",20479,6780,5141,3572,3367,1619
"Hombres (037)",9705,3381,2421,1612,1513,778
"Mujeres (038)",10774,3399,2720,1960,1854,841
"PEA (039)",7379,543,2037,2087,1916,796
"Hombres (040)",4903,296,1329,1415,1290,573
"Mujeres (041)",2476,247,708,672,626,223
"Ocupada (042)",7237,538,1956,2057,1896,790
"Hombres (043)",4791,293,1270,1388,1273,567
"Mujeres (044)",2446,245,686,669,623,223
"Desocupada (045)",142,5,81,30,20,6
"Hombres (046)",112,3,59,27,17,6
"Mujeres (047)",30,2,22,3,3,
"No PEA (048)",13100,6237,3104,1485,1451,823
"Hombres (049)",4802,3085,1092,197,223,205
"Mujeres (050)",8298,3152,2012,1288,1228,618
