"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CANDARAVE (000)",3012,2529,483
"De 3 a 5 años (001)",411,18,393
"De 6 a 11 años (002)",812,732,80
"De 12 a 16 años (003)",770,768,2
"De 17 a 24 años (004)",1019,1011,8
"Hombres (005)",1574,1326,248
"De 3 a 5 años (006)",208,12,196
"De 6 a 11 años (007)",406,358,48
"De 12 a 16 años (008)",408,407,1
"De 17 a 24 años (009)",552,549,3
"Mujeres (010)",1438,1203,235
"De 3 a 5 años (011)",203,6,197
"De 6 a 11 años (012)",406,374,32
"De 12 a 16 años (013)",362,361,1
"De 17 a 24 años (014)",467,462,5
,,,
"URBANA (015)",1894,1597,297
"De 3 a 5 años (016)",265,16,249
"De 6 a 11 años (017)",486,445,41
"De 12 a 16 años (018)",488,487,1
"De 17 a 24 años (019)",655,649,6
"Hombres (020)",991,830,161
"De 3 a 5 años (021)",143,11,132
"De 6 a 11 años (022)",253,227,26
"De 12 a 16 años (023)",247,246,1
"De 17 a 24 años (024)",348,346,2
"Mujeres (025)",903,767,136
"De 3 a 5 años (026)",122,5,117
"De 6 a 11 años (027)",233,218,15
"De 12 a 16 años (028)",241,241,
"De 17 a 24 años (029)",307,303,4
,,,
"RURAL (030)",1118,932,186
"De 3 a 5 años (031)",146,2,144
"De 6 a 11 años (032)",326,287,39
"De 12 a 16 años (033)",282,281,1
"De 17 a 24 años (034)",364,362,2
"Hombres (035)",583,496,87
"De 3 a 5 años (036)",65,1,64
"De 6 a 11 años (037)",153,131,22
"De 12 a 16 años (038)",161,161,
"De 17 a 24 años (039)",204,203,1
"Mujeres (040)",535,436,99
"De 3 a 5 años (041)",81,1,80
"De 6 a 11 años (042)",173,156,17
"De 12 a 16 años (043)",121,120,1
"De 17 a 24 años (044)",160,159,1
