"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia ASUNCION (000)",2260,3,273,56,45,148,765,221,108,520,6,115
"Agric., ganadería, caza y silvicultura (001)",1054,,,,,,765,,3,286,,
"Explotación de minas y canteras (003)",9,,,,,,,4,1,4,,
"Industrias manufactureras (004)",201,,,2,,1,,190,7,1,,
"Suministro de electricidad, gas y agua (005)",9,,,2,,,,5,2,,,
"Construcción (006)",123,,,3,,,,3,60,57,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",150,,1,3,,96,,17,6,27,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,,,,,,16,,1,,
"Comercio al por mayor (009)",2,,,,,1,,,1,,,
"Comercio al por menor (010)",131,,1,3,,95,,1,5,26,,
"Hoteles y restaurantes (011)",56,,,3,,41,,,,12,,
"Trans., almac. y comunicaciones (012)",27,,,,2,,,,21,4,,
"Intermediación financiera (013)",1,,,,1,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",53,,8,6,19,5,,,6,9,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",32,2,2,,13,1,,1,1,6,6,
"Enseñanza (016)",233,1,224,2,2,,,,,4,,
"Servicios sociales y de salud (017)",58,,27,23,1,,,1,,6,,
"Otras activ. serv.comun.soc y personales (018)",70,,11,12,6,4,,,1,36,,
"Hogares privados con servicio doméstico (019)",68,,,,,,,,,68,,
"Actividad economica no especificada (021)",116,,,,1,,,,,,,115
"Hombres (022)",1681,2,141,31,22,58,747,201,107,337,6,29
"Agric., ganadería, caza y silvicultura (023)",969,,,,,,747,,3,219,,
"Explotación de minas y canteras (025)",9,,,,,,,4,1,4,,
"Industrias manufactureras (026)",179,,,2,,,,170,6,1,,
"Suministro de electricidad, gas y agua (027)",9,,,2,,,,5,2,,,
"Construcción (028)",118,,,3,,,,3,60,52,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",80,,,3,,42,,17,6,12,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",17,,,,,,,16,,1,,
"Comercio al por mayor (031)",1,,,,,,,,1,,,
"Comercio al por menor (032)",62,,,3,,42,,1,5,11,,
"Hoteles y restaurantes (033)",14,,,2,,10,,,,2,,
"Trans., almac. y comunicaciones (034)",23,,,,,,,,21,2,,
"Activid.inmobil., empres. y alquileres (036)",37,,4,5,8,5,,,6,9,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",25,2,2,,7,1,,1,1,5,6,
"Enseñanza (038)",128,,120,2,2,,,,,4,,
"Servicios sociales y de salud (039)",9,,4,3,1,,,1,,,,
"Otras activ. serv.comun.soc y personales (040)",46,,11,9,3,,,,1,22,,
"Hogares privados con servicio doméstico (041)",5,,,,,,,,,5,,
"Actividad economica no especificada (043)",30,,,,1,,,,,,,29
"Mujeres (044)",579,1,132,25,23,90,18,20,1,183,,86
"Agric., ganadería, caza y silvicultura (045)",85,,,,,,18,,,67,,
"Industrias manufactureras (048)",22,,,,,1,,20,1,,,
