"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TARMA (000)",42825,36013,2484,1916,2412
"Empleado (001)",6798,2690,877,1347,1884
"Obrero (002)",6862,5221,628,505,508
"Trabajador independiente (003)",22137,21462,675,,
"Empleador o patrono (004)",1087,919,114,43,11
"Trabajador familiar no remunerado (005)",5322,5102,190,21,9
"Trabajador del hogar (006)",619,619,,,
"De 06 a 14 años (008)",661,612,43,5,1
"Empleado (009)",33,29,3,1,
"Obrero (010)",71,60,8,2,1
"Trabajador independiente (011)",100,92,8,,
"Empleador o patrono (012)",3,3,,,
"Trabajador familiar no remunerado (013)",442,416,24,2,
"Trabajador del hogar (014)",12,12,,,
"De 15 a 29 años (016)",12950,10920,935,551,544
"Empleado (017)",2155,1134,320,316,385
"Obrero (018)",2558,1933,255,215,155
"Trabajador independiente (019)",5043,4810,233,,
"Empleador o patrono (020)",222,190,20,9,3
"Trabajador familiar no remunerado (021)",2667,2548,107,11,1
"Trabajador del hogar (022)",305,305,,,
"De 30 a 44 años (024)",14602,11651,927,914,1110
"Empleado (025)",2965,994,384,696,891
"Obrero (026)",2287,1636,242,201,208
"Trabajador independiente (027)",7645,7428,217,,
"Empleador o patrono (028)",412,343,49,14,6
"Trabajador familiar no remunerado (029)",1134,1091,35,3,5
"Trabajador del hogar (030)",159,159,,,
"De 45 a 64 años (032)",11156,9508,500,426,722
"Empleado (033)",1527,468,154,320,585
"Obrero (034)",1548,1224,107,82,135
"Trabajador independiente (035)",6824,6640,184,,
"Empleador o patrono (036)",348,292,35,19,2
"Trabajador familiar no remunerado (037)",796,771,20,5,
"Trabajador del hogar (038)",113,113,,,
"De 65 y más años (040)",3456,3322,79,20,35
"Empleado (041)",118,65,16,14,23
"Obrero (042)",398,368,16,5,9
"Trabajador independiente (043)",2525,2492,33,,
"Empleador o patrono (044)",102,91,10,1,
"Trabajador familiar no remunerado (045)",283,276,4,,3
"Trabajador del hogar (046)",30,30,,,
,,,,,
"URBANA (048)",27818,21921,1987,1735,2175
"Empleado (049)",6186,2395,790,1263,1738
"Obrero (050)",4194,2904,454,418,418
"Trabajador independiente (051)",13728,13181,547,,
"Empleador o patrono (052)",781,650,82,39,10
"Trabajador familiar no remunerado (053)",2412,2274,114,15,9
