"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHUMBIVILCAS (000)",19393,3596,15797
"Red pública dentro de la vivienda (001)",3766,1596,2170
"Red pública fuera de la vivienda (002)",3116,992,2124
"Pilón de uso público (003)",949,59,890
"Camión - cisterna u otro similar (004)",27,2,25
"Pozo (005)",718,11,707
"Río, acequia, manatial o similar (006)",9759,653,9106
"Vecino (007)",928,241,687
"Otro (008)",130,42,88
,,,
"URBANA (010)",4636,2839,1797
"Red pública dentro de la vivienda (011)",2261,1557,704
"Red pública fuera de la vivienda (012)",1452,906,546
"Pilón de uso público (013)",105,48,57
"Camión - cisterna u otro similar (014)",5,2,3
"Pozo (015)",17,4,13
"Río, acequia, manatial o similar (016)",365,191,174
"Vecino (017)",342,90,252
"Otro (018)",89,41,48
,,,
"RURAL (020)",14757,757,14000
"Red pública dentro de la vivienda (021)",1505,39,1466
"Red pública fuera de la vivienda (022)",1664,86,1578
"Pilón de uso público (023)",844,11,833
"Camión - cisterna u otro similar (024)",22,,22
"Pozo (025)",701,7,694
"Río, acequia, manatial o similar (026)",9394,462,8932
"Vecino (027)",586,151,435
"Otro (028)",41,1,40
