"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAMALIES (000)",66022,1372,25571,15543,11160,8513,3863
"Casa independiente (001)",62887,1286,24415,14782,10650,8062,3692
"Departamento en edificio (002)",11,,4,2,2,1,2
"Vivienda en quinta (003)",99,4,35,21,21,14,4
"Vivienda en casa de vecindad (004)",197,4,71,50,40,22,10
"Choza o cabaña (005)",2764,75,1020,673,439,406,151
"Vivienda improvisada (006)",41,2,18,10,4,5,2
"Local no destinado para hab.humana (007)",20,1,7,4,4,3,1
"Otro tipo (008)",3,,1,1,,,1
,,,,,,,
"URBANA (009)",18272,363,6888,4158,3319,2413,1131
"Casa independiente (010)",17914,353,6757,4072,3250,2369,1113
"Departamento en edificio (011)",11,,4,2,2,1,2
"Vivienda en quinta (012)",99,4,35,21,21,14,4
"Vivienda en casa de vecindad (013)",197,4,71,50,40,22,10
"Vivienda improvisada (015)",41,2,18,10,4,5,2
"Local no destinado para hab.humana (016)",10,,3,3,2,2,
,,,,,,,
"RURAL (018)",47750,1009,18683,11385,7841,6100,2732
"Casa independiente (019)",44973,933,17658,10710,7400,5693,2579
"Choza o cabaña (023)",2764,75,1020,673,439,406,151
"Local no destinado para hab.humana (025)",10,1,4,1,2,1,1
"Otro tipo (026)",3,,1,1,,,1
