"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LA UNION (000)",5606,5500,1310,505,621,563,938,729,479,355,106,20340
"De 12 a 14 años (001)",558,556,552,2,2,,,,,,2,6
"De 15 a 19 años (002)",525,518,421,77,18,,2,,,,7,121
"De 20 a 24 años (003)",384,349,79,146,86,29,8,1,,,35,444
"De 25 a 29 años (004)",456,435,57,67,125,99,72,12,3,,21,1025
"De 30 a 34 años (005)",531,521,52,64,119,100,140,41,5,,10,1517
"De 35 a 39 años (006)",530,527,28,46,98,100,141,76,28,10,3,1998
"De 40 a 44 años (007)",476,468,18,21,52,52,130,100,65,30,8,2383
"De 45 a 49 años (008)",393,385,9,11,35,42,87,97,65,39,8,2206
"De 50 y más años (009)",1753,1741,94,71,86,141,358,402,313,276,12,10640
"PEA (010)",2279,2230,407,250,308,266,395,295,185,124,49,8275
"De 12 a 14 años (011)",90,90,89,1,,,,,,,,1
"De 15 a 19 años (012)",154,153,111,34,7,,1,,,,1,52
"De 20 a 24 años (013)",158,142,42,57,35,6,2,,,,16,153
"De 25 a 29 años (014)",215,202,47,34,50,34,30,5,2,,13,413
"De 30 a 34 años (015)",296,291,43,51,67,54,55,18,3,,5,726
"De 35 a 39 años (016)",290,288,22,32,64,53,66,32,16,3,2,987
"De 40 a 44 años (017)",266,261,10,15,34,35,69,52,26,20,5,1268
"De 45 a 49 años (018)",188,182,5,5,21,26,40,36,31,18,6,997
"De 50 y más años (019)",622,621,38,21,30,58,132,152,107,83,1,3678
"Ocupada (020)",2250,2204,397,247,304,265,392,293,183,123,46,8206
"De 12 a 14 años (021)",88,88,87,1,,,,,,,,1
"De 15 a 19 años (022)",149,148,107,33,7,,1,,,,1,51
"De 20 a 24 años (023)",154,138,39,57,34,6,2,,,,16,151
