"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PAITA (000)",28103,224,9902,9865,3369,1085,454,110,13,,3081
"Conviviente (001)",8858,93,3658,2985,934,281,96,24,3,,784
"Separado(a) (002)",1853,17,641,676,257,89,46,9,,,118
"Casado(a) (003)",13388,77,4687,5225,1786,573,224,52,5,,759
"Viudo(a) (004)",1538,28,575,549,170,50,40,19,4,,103
"Divorciado(a) (005)",69,1,30,21,7,4,2,,,,4
"Soltero(a) (006)",2397,8,311,409,215,88,46,6,1,,1313
,,,,,,,,,,,
"URBANA (008)",26876,210,9391,9477,3244,1052,443,106,13,,2940
"Conviviente (009)",8537,87,3512,2888,901,272,90,24,3,,760
"Separado(a) (010)",1813,17,629,658,251,87,46,9,,,116
"Casado(a) (011)",12681,71,4364,4989,1713,555,220,48,5,,716
"Viudo(a) (012)",1468,26,551,523,159,48,40,19,4,,98
"Divorciado(a) (013)",68,1,30,21,7,4,2,,,,3
"Soltero(a) (014)",2309,8,305,398,213,86,45,6,1,,1247
,,,,,,,,,,,
"RURAL (016)",1227,14,511,388,125,33,11,4,,,141
"Conviviente (017)",321,6,146,97,33,9,6,,,,24
"Separado(a) (018)",40,,12,18,6,2,,,,,2
"Casado(a) (019)",707,6,323,236,73,18,4,4,,,43
"Viudo(a) (020)",70,2,24,26,11,2,,,,,5
"Divorciado(a) (021)",1,,,,,,,,,,1
"Soltero(a) (022)",88,,6,11,2,2,1,,,,66
