"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CORONEL PORTILLO (000)",333890,8269,108578,95605,64032,43906,13500
"Hombres (001)",169182,4228,55457,47128,31821,23388,7160
"Mujeres (002)",164708,4041,53121,48477,32211,20518,6340
"Viviendas particulares (003)",328463,8212,108244,93557,62128,42975,13347
"Hombres (004)",165046,4202,55280,45608,30284,22620,7052
"Mujeres (005)",163417,4010,52964,47949,31844,20355,6295
"Viviendas colectivas (006)",4531,46,223,1793,1620,728,121
"Hombres (007)",3501,22,111,1362,1328,599,79
"Mujeres (008)",1030,24,112,431,292,129,42
"Otro tipo (009)",896,11,111,255,284,203,32
"Hombres (010)",635,4,66,158,209,169,29
"Mujeres (011)",261,7,45,97,75,34,3
,,,,,,,
"URBANA (012)",281946,6807,88989,81787,55281,37606,11476
"Hombres (013)",140529,3463,45210,39652,26780,19558,5866
"Mujeres (014)",141417,3344,43779,42135,28501,18048,5610
"Viviendas particulares (015)",277747,6757,88683,80247,53859,36862,11339
"Hombres (016)",137523,3440,45050,38609,25682,18969,5773
"Mujeres (017)",140224,3317,43633,41638,28177,17893,5566
"Viviendas colectivas (018)",3345,40,199,1306,1147,548,105
"Hombres (019)",2403,20,97,899,896,427,64
"Mujeres (020)",942,20,102,407,251,121,41
"Otro tipo (021)",854,10,107,234,275,196,32
"Hombres (022)",603,3,63,144,202,162,29
"Mujeres (023)",251,7,44,90,73,34,3
,,,,,,,
"RURAL (024)",51944,1462,19589,13818,8751,6300,2024
"Hombres (025)",28653,765,10247,7476,5041,3830,1294
"Mujeres (026)",23291,697,9342,6342,3710,2470,730
"Viviendas particulares (027)",50716,1455,19561,13310,8269,6113,2008
"Hombres (028)",27523,762,10230,6999,4602,3651,1279
"Mujeres (029)",23193,693,9331,6311,3667,2462,729
"Viviendas colectivas (030)",1186,6,24,487,473,180,16
"Hombres (031)",1098,2,14,463,432,172,15
"Mujeres (032)",88,4,10,24,41,8,1
"Otro tipo (033)",42,1,4,21,9,7,
"Hombres (034)",32,1,3,14,7,7,
"Mujeres (035)",10,,1,7,2,,
