"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CORONGO (000)",72,16,56
"De 14 a 29 años (001)",39,13,26
"De 30 a 44 años (002)",19,3,16
"De 45 a 64 años (003)",10,,10
"De 65 y más años (004)",4,,4
"Hombres (005)",61,12,49
"De 14 a 29 años (006)",33,10,23
"De 30 a 44 años (007)",16,2,14
"De 45 a 64 años (008)",9,,9
"De 65 y más años (009)",3,,3
"Mujeres (010)",11,4,7
"De 14 a 29 años (011)",6,3,3
"De 30 a 44 años (012)",3,1,2
"De 45 a 64 años (013)",1,,1
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",40,9,31
"De 14 a 29 años (016)",18,7,11
"De 30 a 44 años (017)",11,2,9
"De 45 a 64 años (018)",8,,8
"De 65 y más años (019)",3,,3
"Hombres (020)",33,6,27
"De 14 a 29 años (021)",13,4,9
"De 30 a 44 años (022)",10,2,8
"De 45 a 64 años (023)",8,,8
"De 65 y más años (024)",2,,2
"Mujeres (025)",7,3,4
"De 14 a 29 años (026)",5,3,2
"De 30 a 44 años (027)",1,,1
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",32,7,25
"De 14 a 29 años (031)",21,6,15
"De 30 a 44 años (032)",8,1,7
"De 45 a 64 años (033)",2,,2
"De 65 y más años (034)",1,,1
"Hombres (035)",28,6,22
"De 14 a 29 años (036)",20,6,14
"De 30 a 44 años (037)",6,,6
"De 45 a 64 años (038)",1,,1
"De 65 y más años (039)",1,,1
"Mujeres (040)",4,1,3
"De 14 a 29 años (041)",1,,1
"De 30 a 44 años (042)",2,1,1
"De 45 a 64 años (043)",1,,1
