"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia PIURA (000)",256176,242219,80180,34625,34404,27612,31367,15979,18052,13957
"Católica (001)",229517,216932,71754,31463,31187,24784,27742,14017,15985,12585
"Cristiana/Evangélica (002)",19343,18379,5862,2213,2336,2071,2693,1539,1665,964
"Otra (003)",5701,5390,1941,684,664,596,792,356,357,311
"Ninguna (004)",1615,1518,623,265,217,161,140,67,45,97
,,,,,,,,,,
"URBANA (006)",224858,212379,70936,31182,30934,24700,27140,13266,14221,12479
"Católica (007)",201738,190474,63486,28369,28054,22232,24047,11662,12624,11264
"Cristiana/Evangélica (008)",16412,15572,5067,1924,2067,1764,2258,1228,1264,840
"Otra (009)",5258,4970,1821,642,614,556,715,325,297,288
"Ninguna (010)",1450,1363,562,247,199,148,120,51,36,87
,,,,,,,,,,
"RURAL (012)",31318,29840,9244,3443,3470,2912,4227,2713,3831,1478
"Católica (013)",27779,26458,8268,3094,3133,2552,3695,2355,3361,1321
"Cristiana/Evangélica (014)",2931,2807,795,289,269,307,435,311,401,124
"Otra (015)",443,420,120,42,50,40,77,31,60,23
"Ninguna (016)",165,155,61,18,18,13,20,16,9,10
