"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHANCHAMAYO (000)",158,137,21
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",60,59,1
"Casa pensión (003)",8,7,1
"Hospital, clinica (004)",12,10,2
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",44,34,10
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",32,25,7
