"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SECHURA (000)",56923,14265,6226,1954,34623
"Quechua (001)",26,5,1,3,17
"Aymara (002)",9,3,3,1,3
"Asháninka (003)",4,1,2,2,
"Otra lengua nativa (004)",48,7,6,2,33
"Castellano (005)",56749,14222,6204,1945,34521
"Idioma Extranjero (006)",2,,,,2
"Es Sordomudo/a (007)",85,27,10,1,47
"Hombres (009)",28521,6186,3204,1276,17951
"Quechua (010)",15,2,1,2,10
"Aymara (011)",6,1,3,1,2
"Asháninka (012)",3,,2,2,
"Otra lengua nativa (013)",25,4,1,2,18
"Castellano (014)",28423,6167,3191,1268,17891
"Idioma Extranjero (015)",1,,,,1
"Es Sordomudo/a (016)",48,12,6,1,29
"Mujeres (018)",28402,8079,3022,678,16672
"Quechua (019)",11,3,,1,7
"Aymara (020)",3,2,,,1
"Asháninka (021)",1,1,,,
"Otra lengua nativa (022)",23,3,5,,15
"Castellano (023)",28326,8055,3013,677,16630
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",37,15,4,,18
,,,,,
"URBANA (027)",53414,12989,6047,1883,32637
"Quechua (028)",24,4,1,3,16
"Aymara (029)",9,3,3,1,3
"Asháninka (030)",4,1,2,2,
"Otra lengua nativa (031)",48,7,6,2,33
"Castellano (032)",53254,12952,6025,1874,32543
"Idioma Extranjero (033)",2,,,,2
"Es Sordomudo/a (034)",73,22,10,1,40
"Hombres (036)",26675,5575,3121,1232,16840
"Quechua (037)",14,2,1,2,9
"Aymara (038)",6,1,3,1,2
"Asháninka (039)",3,,2,2,
"Otra lengua nativa (040)",25,4,1,2,18
"Castellano (041)",26588,5561,3108,1224,16786
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",38,7,6,1,24
"Mujeres (045)",26739,7414,2926,651,15797
"Quechua (046)",10,2,,1,7
"Aymara (047)",3,2,,,1
"Asháninka (048)",1,1,,,
"Otra lengua nativa (049)",23,3,5,,15
"Castellano (050)",26666,7391,2917,650,15757
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",35,15,4,,16
,,,,,
"RURAL (054)",3509,1276,179,71,1986
"Quechua (055)",2,1,,,1
"Castellano (059)",3495,1270,179,71,1978
"Es Sordomudo/a (061)",12,5,,,7
"Hombres (063)",1846,611,83,44,1111
"Quechua (064)",1,,,,1
"Castellano (068)",1835,606,83,44,1105
"Es Sordomudo/a (070)",10,5,,,5
"Mujeres (072)",1663,665,96,27,875
"Quechua (073)",1,1,,,
"Castellano (077)",1660,664,96,27,873
"Es Sordomudo/a (079)",2,,,,2
