"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia YAUYOS",,,,,,,,,
"Hogares (001)",7926,14,902,60,17,6170,511,1,251
"Ocupantes presentes (002)",25093,30,2603,118,61,20050,1776,4,451
"Casa independiente",,,,,,,,,
"Hogares (004)",7348,14,814,59,16,5883,356,1,205
"Ocupantes presentes (005)",23502,30,2355,116,60,19201,1372,4,364
"Departamento en edificio",,,,,,,,,
"Hogares (007)",6,,2,,,,,,4
"Ocupantes presentes (008)",13,,7,,,,,,6
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",30,,24,,,,,,6
"Ocupantes presentes (011)",103,,72,,,,,,31
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",136,,55,,,50,,,31
"Ocupantes presentes (014)",407,,153,,,213,,,41
"Choza o cabaña",,,,,,,,,
"Hogares (016)",344,,,1,1,188,154,,
"Ocupantes presentes (017)",869,,,2,1,466,400,,
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",43,,4,,,37,,,2
"Ocupantes presentes (020)",146,,11,,,133,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",8,,2,,,2,1,,3
"Ocupantes presentes (023)",24,,4,,,9,4,,7
"Otro tipo",,,,,,,,,
"Hogares (025)",11,,1,,,10,,,
"Ocupantes presentes (026)",29,,1,,,28,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4864,13,770,50,12,3646,148,1,224
"Ocupantes presentes (029)",15451,28,2246,102,41,12001,621,4,408
"Casa independiente",,,,,,,,,
"Hogares (031)",4633,13,683,50,12,3549,147,1,178
"Ocupantes presentes (032)",14734,28,1999,102,41,11622,617,4,321
"Departamento en edificio",,,,,,,,,
"Hogares (034)",6,,2,,,,,,4
"Ocupantes presentes (035)",13,,7,,,,,,6
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",30,,24,,,,,,6
"Ocupantes presentes (038)",103,,72,,,,,,31
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",136,,55,,,50,,,31
"Ocupantes presentes (041)",407,,153,,,213,,,41
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",43,,4,,,37,,,2
"Ocupantes presentes (047)",146,,11,,,133,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",6,,1,,,1,1,,3
"Ocupantes presentes (050)",20,,3,,,6,4,,7
"Otro tipo",,,,,,,,,
"Hogares (052)",10,,1,,,9,,,
"Ocupantes presentes (053)",28,,1,,,27,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",3062,1,132,10,5,2524,363,,27
"Ocupantes presentes (056)",9642,2,357,16,20,8049,1155,,43
"Casa independiente",,,,,,,,,
"Hogares (058)",2715,1,131,9,4,2334,209,,27
"Ocupantes presentes (059)",8768,2,356,14,19,7579,755,,43
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",344,,,1,1,188,154,,
"Ocupantes presentes (071)",869,,,2,1,466,400,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,1,,,1,,,
"Ocupantes presentes (077)",4,,1,,,3,,,
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,1,,,
"Ocupantes presentes (080)",1,,,,,1,,,
