"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUANCA SANCOS (000)",10620,190,3506,2271,2005,1693,955
"Hombres (001)",5153,101,1766,1145,969,787,385
"Mujeres (002)",5467,89,1740,1126,1036,906,570
"Viviendas particulares (003)",10465,190,3488,2217,1941,1677,952
"Hombres (004)",5037,101,1756,1106,918,773,383
"Mujeres (005)",5428,89,1732,1111,1023,904,569
"Viviendas colectivas (006)",100,,2,41,43,13,1
"Hombres (007)",87,,,35,38,13,1
"Mujeres (008)",13,,2,6,5,,
"Otro tipo (009)",55,,16,13,21,3,2
"Hombres (010)",29,,10,4,13,1,1
"Mujeres (011)",26,,6,9,8,2,1
,,,,,,,
"URBANA (012)",7168,124,2431,1515,1358,1095,645
"Hombres (013)",3473,70,1228,775,649,497,254
"Mujeres (014)",3695,54,1203,740,709,598,391
"Viviendas particulares (015)",7076,124,2413,1493,1315,1089,642
"Hombres (016)",3418,70,1218,766,619,493,252
"Mujeres (017)",3658,54,1195,727,696,596,390
"Viviendas colectivas (018)",37,,2,9,22,3,1
"Hombres (019)",26,,,5,17,3,1
"Mujeres (020)",11,,2,4,5,,
"Otro tipo (021)",55,,16,13,21,3,2
"Hombres (022)",29,,10,4,13,1,1
"Mujeres (023)",26,,6,9,8,2,1
,,,,,,,
"RURAL (024)",3452,66,1075,756,647,598,310
"Hombres (025)",1680,31,538,370,320,290,131
"Mujeres (026)",1772,35,537,386,327,308,179
"Viviendas particulares (027)",3389,66,1075,724,626,588,310
"Hombres (028)",1619,31,538,340,299,280,131
"Mujeres (029)",1770,35,537,384,327,308,179
"Viviendas colectivas (030)",63,,,32,21,10,
"Hombres (031)",61,,,30,21,10,
"Mujeres (032)",2,,,2,,,
