"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ESPINAR (000)",30860,4722,9749,7949,8440
"Asiste actualmente (001)",21182,1458,9185,7277,3262
"No asiste (002)",9678,3264,564,672,5178
"Hombres (004)",15602,2392,4984,4097,4129
"Asiste actualmente (005)",11147,738,4685,3835,1889
"No asiste (006)",4455,1654,299,262,2240
"Mujeres (008)",15258,2330,4765,3852,4311
"Asiste actualmente (009)",10035,720,4500,3442,1373
"No asiste (010)",5223,1610,265,410,2938
,,,,,
"URBANA (012)",14518,2088,4457,3691,4282
"Asiste actualmente (013)",10619,785,4312,3534,1988
"No asiste (014)",3899,1303,145,157,2294
"Hombres (016)",7351,1072,2274,1918,2087
"Asiste actualmente (017)",5522,394,2203,1851,1074
"No asiste (018)",1829,678,71,67,1013
"Mujeres (020)",7167,1016,2183,1773,2195
"Asiste actualmente (021)",5097,391,2109,1683,914
"No asiste (022)",2070,625,74,90,1281
,,,,,
"RURAL (024)",16342,2634,5292,4258,4158
"Asiste actualmente (025)",10563,673,4873,3743,1274
"No asiste (026)",5779,1961,419,515,2884
"Hombres (028)",8251,1320,2710,2179,2042
"Asiste actualmente (029)",5625,344,2482,1984,815
"No asiste (030)",2626,976,228,195,1227
"Mujeres (032)",8091,1314,2582,2079,2116
"Asiste actualmente (033)",4938,329,2391,1759,459
"No asiste (034)",3153,985,191,320,1657
