"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia UCAYALI (000)",50046,1398,601,26556,17265,1141,1702,552,831
"Hombres (001)",26565,508,316,13494,9757,670,953,348,519
"Mujeres (002)",23481,890,285,13062,7508,471,749,204,312
"PEA (003)",21074,498,17,9399,8053,666,1416,343,682
"Hombres (004)",14923,258,11,6524,6112,485,840,242,451
"Mujeres (005)",6151,240,6,2875,1941,181,576,101,231
"Ocupada (006)",20353,470,17,9111,7719,648,1386,337,665
"Hombres (007)",14353,237,11,6292,5848,469,820,238,438
"Mujeres (008)",6000,233,6,2819,1871,179,566,99,227
"Desocupada (009)",721,28,,288,334,18,30,6,17
"Hombres (010)",570,21,,232,264,16,20,4,13
"Mujeres (011)",151,7,,56,70,2,10,2,4
"No PEA (012)",28972,900,584,17157,9212,475,286,209,149
"Hombres (013)",11642,250,305,6970,3645,185,113,106,68
"Mujeres (014)",17330,650,279,10187,5567,290,173,103,81
,,,,,,,,,
"URBANA (018)",28094,506,370,12585,11264,913,1235,507,714
"Hombres (019)",14702,185,199,6254,6123,510,666,314,451
"Mujeres (020)",13392,321,171,6331,5141,403,569,193,263
"PEA (021)",11877,145,11,4167,5142,509,1014,309,580
"Hombres (022)",8103,73,7,2762,3715,358,584,212,392
"Mujeres (023)",3774,72,4,1405,1427,151,430,97,188
"Ocupada (024)",11429,133,11,4024,4910,496,988,303,564
"Hombres (025)",7780,67,7,2654,3549,347,568,208,380
"Mujeres (026)",3649,66,4,1370,1361,149,420,95,184
"Desocupada (027)",448,12,,143,232,13,26,6,16
"Hombres (028)",323,6,,108,166,11,16,4,12
"Mujeres (029)",125,6,,35,66,2,10,2,4
"No PEA (030)",16217,361,359,8418,6122,404,221,198,134
"Hombres (031)",6599,112,192,3492,2408,152,82,102,59
"Mujeres (032)",9618,249,167,4926,3714,252,139,96,75
,,,,,,,,,
"RURAL (036)",21952,892,231,13971,6001,228,467,45,117
"Hombres (037)",11863,323,117,7240,3634,160,287,34,68
"Mujeres (038)",10089,569,114,6731,2367,68,180,11,49
"PEA (039)",9197,353,6,5232,2911,157,402,34,102
"Hombres (040)",6820,185,4,3762,2397,127,256,30,59
"Mujeres (041)",2377,168,2,1470,514,30,146,4,43
"Ocupada (042)",8924,337,6,5087,2809,152,398,34,101
"Hombres (043)",6573,170,4,3638,2299,122,252,30,58
"Mujeres (044)",2351,167,2,1449,510,30,146,4,43
"Desocupada (045)",273,16,,145,102,5,4,,1
"Hombres (046)",247,15,,124,98,5,4,,1
"Mujeres (047)",26,1,,21,4,,,,
"No PEA (048)",12755,539,225,8739,3090,71,65,11,15
"Hombres (049)",5043,138,113,3478,1237,33,31,4,9
"Mujeres (050)",7712,401,112,5261,1853,38,34,7,6
