"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL NIETO (000)",65871,4383,774,16053,20292,5528,7307,4502,7032
"Hombres (001)",33628,1097,369,7896,11147,2901,3828,2600,3790
"Mujeres (002)",32243,3286,405,8157,9145,2627,3479,1902,3242
"PEA (003)",34884,1969,35,5549,10616,3216,5588,2386,5525
"Hombres (004)",21298,684,19,3175,7150,2044,3333,1619,3274
"Mujeres (005)",13586,1285,16,2374,3466,1172,2255,767,2251
"Ocupada (006)",31645,1847,33,5076,9430,2830,5117,2136,5176
"Hombres (007)",19464,632,19,2901,6455,1860,3057,1463,3077
"Mujeres (008)",12181,1215,14,2175,2975,970,2060,673,2099
"Desocupada (009)",3239,122,2,473,1186,386,471,250,349
"Hombres (010)",1834,52,,274,695,184,276,156,197
"Mujeres (011)",1405,70,2,199,491,202,195,94,152
"No PEA (012)",30987,2414,739,10504,9676,2312,1719,2116,1507
"Hombres (013)",12330,413,350,4721,3997,857,495,981,516
"Mujeres (014)",18657,2001,389,5783,5679,1455,1224,1135,991
,,,,,,,,,
"URBANA (018)",56641,3174,685,13162,17330,4943,6572,4178,6597
"Hombres (019)",28375,743,318,6298,9266,2523,3375,2373,3479
"Mujeres (020)",28266,2431,367,6864,8064,2420,3197,1805,3118
"PEA (021)",29303,1331,31,4080,8722,2834,4977,2189,5139
"Hombres (022)",17448,416,15,2209,5707,1746,2914,1450,2991
"Mujeres (023)",11855,915,16,1871,3015,1088,2063,739,2148
"Ocupada (024)",26327,1229,29,3661,7614,2483,4549,1949,4813
"Hombres (025)",15802,378,15,1977,5069,1587,2665,1303,2808
"Mujeres (026)",10525,851,14,1684,2545,896,1884,646,2005
"Desocupada (027)",2976,102,2,419,1108,351,428,240,326
"Hombres (028)",1646,38,,232,638,159,249,147,183
"Mujeres (029)",1330,64,2,187,470,192,179,93,143
"No PEA (030)",27338,1843,654,9082,8608,2109,1595,1989,1458
"Hombres (031)",10927,327,303,4089,3559,777,461,923,488
"Mujeres (032)",16411,1516,351,4993,5049,1332,1134,1066,970
,,,,,,,,,
"RURAL (036)",9230,1209,89,2891,2962,585,735,324,435
"Hombres (037)",5253,354,51,1598,1881,378,453,227,311
"Mujeres (038)",3977,855,38,1293,1081,207,282,97,124
"PEA (039)",5581,638,4,1469,1894,382,611,197,386
"Hombres (040)",3850,268,4,966,1443,298,419,169,283
"Mujeres (041)",1731,370,,503,451,84,192,28,103
"Ocupada (042)",5318,618,4,1415,1816,347,568,187,363
"Hombres (043)",3662,254,4,924,1386,273,392,160,269
"Mujeres (044)",1656,364,,491,430,74,176,27,94
"Desocupada (045)",263,20,,54,78,35,43,10,23
"Hombres (046)",188,14,,42,57,25,27,9,14
"Mujeres (047)",75,6,,12,21,10,16,1,9
"No PEA (048)",3649,571,85,1422,1068,203,124,127,49
"Hombres (049)",1403,86,47,632,438,80,34,58,28
"Mujeres (050)",2246,485,38,790,630,123,90,69,21
