"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CONDORCANQUI",,,,,,,,,
"Viviendas particulares (001)",594,179,34,30,114,2,,,235
"Ocupantes presentes (002)",2639,781,164,157,422,14,,,1101
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",332,140,33,1,72,2,,,84
"Ocupantes presentes (005)",1436,671,163,3,237,14,,,348
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",7,,,,,,,,7
"Ocupantes presentes (008)",15,,,,,,,,15
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",13,9,1,,3,,,,
"Ocupantes presentes (011)",32,25,1,,6,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",26,26,,,,,,,
"Ocupantes presentes (014)",66,66,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",208,,,29,39,,,,140
"Ocupantes presentes (017)",1052,,,154,179,,,,719
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",7,4,,,,,,,3
"Ocupantes presentes (020)",37,19,,,,,,,18
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,,,,,,,1
"Ocupantes presentes (023)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",249,179,33,1,3,1,,,32
"Ocupantes presentes (029)",1099,781,160,3,6,3,,,146
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",196,140,32,1,,1,,,22
"Ocupantes presentes (032)",949,671,159,3,,3,,,113
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",7,,,,,,,,7
"Ocupantes presentes (035)",15,,,,,,,,15
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",13,9,1,,3,,,,
"Ocupantes presentes (038)",32,25,1,,6,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",26,26,,,,,,,
"Ocupantes presentes (041)",66,66,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",7,4,,,,,,,3
"Ocupantes presentes (047)",37,19,,,,,,,18
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",345,,1,29,111,1,,,203
"Ocupantes presentes (056)",1540,,4,154,416,11,,,955
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",136,,1,,72,1,,,62
"Ocupantes presentes (059)",487,,4,,237,11,,,235
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",208,,,29,39,,,,140
"Ocupantes presentes (071)",1052,,,154,179,,,,719
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
