"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JULCAN (000)",30413,7270,825,16660,4648,297,281,85,347
"Jefe o Jefa (001)",8285,1936,6,4709,1155,102,127,44,206
"Esposa(o)/ compa¤era(o) (002)",5553,1852,18,2940,571,57,62,7,46
"Hijo(a)/ hijastro(a) (003)",13797,2651,705,7651,2534,120,63,24,49
"Yerno/ nuera (004)",200,19,,120,44,8,4,2,3
"Nieto(a) (005)",1078,283,64,583,145,1,2,,
"Padres/ suegros (006)",264,203,,60,1,,,,
"Otro(a) pariente (007)",1115,294,31,552,174,7,17,5,35
"Trabajador(a) del hogar (008)",13,2,,9,2,,,,
"Pensionista (009)",8,,,1,1,,2,1,3
"Otro(a) no pariente (010)",100,30,1,35,21,2,4,2,5
"Hombres (012)",15226,2666,390,8814,2768,152,154,60,222
"Jefe o Jefa (013)",6390,1032,4,3973,1001,73,105,35,167
"Esposa(o)/ compa¤era(o) (014)",190,31,,101,43,4,5,,6
"Hijo(a)/ hijastro(a) (015)",7326,1314,338,4024,1508,64,32,19,27
"Yerno/ nuera (016)",84,5,,47,25,6,,,1
"Nieto(a) (017)",526,129,32,276,87,1,1,,
"Padres/ suegros (018)",67,31,,36,,,,,
"Otro(a) pariente (019)",583,112,16,333,92,4,8,3,15
"Trabajador(a) del hogar (020)",5,,,4,1,,,,
"Pensionista (021)",7,,,,1,,2,1,3
"Otro(a) no pariente (022)",48,12,,20,10,,1,2,3
"Mujeres (024)",15187,4604,435,7846,1880,145,127,25,125
"Jefe o Jefa (025)",1895,904,2,736,154,29,22,9,39
"Esposa(o)/ compa¤era(o) (026)",5363,1821,18,2839,528,53,57,7,40
"Hijo(a)/ hijastro(a) (027)",6471,1337,367,3627,1026,56,31,5,22
"Yerno/ nuera (028)",116,14,,73,19,2,4,2,2
"Nieto(a) (029)",552,154,32,307,58,,1,,
"Padres/ suegros (030)",197,172,,24,1,,,,
"Otro(a) pariente (031)",532,182,15,219,82,3,9,2,20
"Trabajador(a) del hogar (032)",8,2,,5,1,,,,
"Pensionista (033)",1,,,1,,,,,
"Otro(a) no pariente (034)",52,18,1,15,11,2,3,,2
,,,,,,,,,
"URBANA (036)",4514,856,116,2045,1017,112,152,39,177
"Jefe o Jefa (037)",1404,232,,672,276,47,62,15,100
"Esposa(o)/ compa¤era(o) (038)",817,222,4,377,116,12,46,7,33
"Hijo(a)/ hijastro(a) (039)",1838,280,95,820,534,43,30,12,24
"Yerno/ nuera (040)",31,4,,6,9,4,3,2,3
"Nieto(a) (041)",175,48,13,85,28,,1,,
"Padres/ suegros (042)",38,29,,9,,,,,
"Otro(a) pariente (043)",172,32,4,67,44,4,8,2,11
"Trabajador(a) del hogar (044)",1,,,1,,,,,
"Pensionista (045)",2,,,,,,,,2
"Otro(a) no pariente (046)",36,9,,8,10,2,2,1,4
"Hombres (048)",2178,272,48,1019,585,57,67,22,108
"Jefe o Jefa (049)",959,95,,476,216,34,49,12,77
