"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia LA CONVENCION (000)",55905,53786,14513,8014,7773,5908,8265,5161,4152,2119
"Católica (001)",43380,41751,11247,6472,6142,4615,6286,3932,3057,1629
"Cristiana/Evangélica (002)",10470,10125,2670,1242,1375,1100,1700,1079,959,345
"Otra (003)",1140,1057,295,166,133,111,177,87,88,83
"Ninguna (004)",915,853,301,134,123,82,102,63,48,62
,,,,,,,,,,
"URBANA (006)",18727,17816,5574,3165,2907,1988,2258,1189,735,911
"Católica (007)",15283,14528,4517,2705,2424,1618,1796,918,550,755
"Cristiana/Evangélica (008)",2641,2548,789,323,377,292,377,229,161,93
"Otra (009)",525,477,162,84,67,50,65,29,20,48
"Ninguna (010)",278,263,106,53,39,28,20,13,4,15
,,,,,,,,,,
"RURAL (012)",37178,35970,8939,4849,4866,3920,6007,3972,3417,1208
"Católica (013)",28097,27223,6730,3767,3718,2997,4490,3014,2507,874
"Cristiana/Evangélica (014)",7829,7577,1881,919,998,808,1323,850,798,252
"Otra (015)",615,580,133,82,66,61,112,58,68,35
"Ninguna (016)",637,590,195,81,84,54,82,50,44,47
