"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARISCAL CACERES (000)",47263,2463,11720,9615,7521,6814,4454,2379,2297
"Quechua (001)",160,1,9,6,14,20,27,34,49
"Aymara (002)",12,3,4,,3,1,1,,
"Ashaninca (003)",4,,3,,,,,1,
"Otra lengua nativa (004)",14,,4,2,2,1,2,3,
"Castellano (005)",47001,2454,11669,9591,7489,6790,4423,2339,2246
"Idioma extranjero (006)",4,1,,1,2,,,,
"Es sordomudo/a (007)",68,4,31,15,11,2,1,2,2
"Hombres (009)",25133,1237,6065,5112,3929,3807,2543,1298,1142
"Quechua (010)",82,1,7,5,6,15,14,19,15
"Aymara (011)",8,2,1,,3,1,1,,
"Ashaninca (012)",2,,1,,,,,1,
"Otra lengua nativa (013)",6,,3,1,,,1,1,
"Castellano (014)",24994,1232,6033,5099,3913,3789,2526,1276,1126
"Idioma extranjero (015)",2,,,,2,,,,
"Es sordomudo/a (016)",39,2,20,7,5,2,1,1,1
"Mujeres (018)",22130,1226,5655,4503,3592,3007,1911,1081,1155
"Quechua (019)",78,,2,1,8,5,13,15,34
"Aymara (020)",4,1,3,,,,,,
"Ashaninca (021)",2,,2,,,,,,
"Otra lengua nativa (022)",8,,1,1,2,1,1,2,
"Castellano (023)",22007,1222,5636,4492,3576,3001,1897,1063,1120
"Idioma extranjero (024)",2,1,,1,,,,,
"Es sordomudo/a (025)",29,2,11,8,6,,,1,1
,,,,,,,,,
"URBANA (027)",29526,1372,6894,6148,4597,4405,2938,1573,1599
"Quechua (028)",98,1,7,6,7,16,17,20,24
"Aymara (029)",6,,3,,2,1,,,
"Ashaninca (030)",2,,2,,,,,,
"Otra lengua nativa (031)",14,,4,2,2,1,2,3,
"Castellano (032)",29366,1368,6866,6128,4578,4385,2918,1550,1573
"Idioma extranjero (033)",4,1,,1,2,,,,
"Es sordomudo/a (034)",36,2,12,11,6,2,1,,2
"Hombres (036)",15119,685,3511,3197,2265,2302,1590,816,753
"Quechua (037)",51,1,5,5,2,11,8,11,8
"Aymara (038)",4,,1,,2,1,,,
"Otra lengua nativa (040)",6,,3,1,,,1,1,
"Castellano (041)",15034,684,3494,3184,2256,2288,1580,804,744
"Idioma extranjero (042)",2,,,,2,,,,
"Es sordomudo/a (043)",22,,8,7,3,2,1,,1
"Mujeres (045)",14407,687,3383,2951,2332,2103,1348,757,846
"Quechua (046)",47,,2,1,5,5,9,9,16
"Aymara (047)",2,,2,,,,,,
"Ashaninca (048)",2,,2,,,,,,
"Otra lengua nativa (049)",8,,1,1,2,1,1,2,
"Castellano (050)",14332,684,3372,2944,2322,2097,1338,746,829
"Idioma extranjero (051)",2,1,,1,,,,,
"Es sordomudo/a (052)",14,2,4,4,3,,,,1
,,,,,,,,,
"RURAL (054)",17737,1091,4826,3467,2924,2409,1516,806,698
"Quechua (055)",62,,2,,7,4,10,14,25
"Aymara (056)",6,3,1,,1,,1,,
"Ashaninca (057)",2,,1,,,,,1,
"Castellano (059)",17635,1086,4803,3463,2911,2405,1505,789,673
"Es sordomudo/a (061)",32,2,19,4,5,,,2,
"Hombres (063)",10014,552,2554,1915,1664,1505,953,482,389
"Quechua (064)",31,,2,,4,4,6,8,7
"Aymara (065)",4,2,,,1,,1,,
"Ashaninca (066)",2,,1,,,,,1,
"Castellano (068)",9960,548,2539,1915,1657,1501,946,472,382
"Es sordomudo/a (070)",17,2,12,,2,,,1,
"Mujeres (072)",7723,539,2272,1552,1260,904,563,324,309
"Quechua (073)",31,,,,3,,4,6,18
"Aymara (074)",2,1,1,,,,,,
"Castellano (077)",7675,538,2264,1548,1254,904,559,317,291
"Es sordomudo/a (079)",15,,7,4,3,,,1,
