"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PUERTO INCA (000)",10588,445,4029,3484,2184,446
"Empleado (001)",734,4,239,369,120,2
"Obrero (002)",1895,67,977,504,295,52
"Trabajador independiente (003)",5699,6,1549,2216,1574,354
"Empleador o patrono (004)",118,1,28,50,34,5
"Trabajador familiar no remunerado (005)",1942,352,1112,306,141,31
"Trabajador del hogar (006)",200,15,124,39,20,2
"Hombres (008)",8586,303,3302,2782,1815,384
"Empleado (009)",443,2,118,231,90,2
"Obrero (010)",1667,55,899,417,248,48
"Trabajador independiente (011)",5010,2,1356,1944,1393,315
"Empleador o patrono (012)",106,,23,47,32,4
"Trabajador familiar no remunerado (013)",1241,238,833,117,39,14
"Trabajador del hogar (014)",119,6,73,26,13,1
"Mujeres (016)",2002,142,727,702,369,62
"Empleado (017)",291,2,121,138,30,
"Obrero (018)",228,12,78,87,47,4
"Trabajador independiente (019)",689,4,193,272,181,39
"Empleador o patrono (020)",12,1,5,3,2,1
"Trabajador familiar no remunerado (021)",701,114,279,189,102,17
"Trabajador del hogar (022)",81,9,51,13,7,1
,,,,,,
"URBANA (024)",2135,33,706,814,488,94
"Empleado (025)",429,3,145,202,78,1
"Obrero (026)",471,7,217,137,91,19
"Trabajador independiente (027)",979,2,220,414,278,65
"Empleador o patrono (028)",35,1,8,14,10,2
"Trabajador familiar no remunerado (029)",171,13,92,35,24,7
"Trabajador del hogar (030)",50,7,24,12,7,
"Hombres (032)",1526,16,505,567,355,83
"Empleado (033)",273,2,77,134,59,1
"Obrero (034)",422,7,204,117,77,17
"Trabajador independiente (035)",697,,155,287,196,59
"Empleador o patrono (036)",31,,6,13,10,2
"Trabajador familiar no remunerado (037)",86,6,56,11,9,4
"Trabajador del hogar (038)",17,1,7,5,4,
"Mujeres (040)",609,17,201,247,133,11
"Empleado (041)",156,1,68,68,19,
"Obrero (042)",49,,13,20,14,2
"Trabajador independiente (043)",282,2,65,127,82,6
"Empleador o patrono (044)",4,1,2,1,,
"Trabajador familiar no remunerado (045)",85,7,36,24,15,3
"Trabajador del hogar (046)",33,6,17,7,3,
,,,,,,
"RURAL (048)",8453,412,3323,2670,1696,352
"Empleado (049)",305,1,94,167,42,1
"Obrero (050)",1424,60,760,367,204,33
"Trabajador independiente (051)",4720,4,1329,1802,1296,289
"Empleador o patrono (052)",83,,20,36,24,3
"Trabajador familiar no remunerado (053)",1771,339,1020,271,117,24
"Trabajador del hogar (054)",150,8,100,27,13,2
"Hombres (056)",7060,287,2797,2215,1460,301
"Empleado (057)",170,,41,97,31,1
"Obrero (058)",1245,48,695,300,171,31
"Trabajador independiente (059)",4313,2,1201,1657,1197,256
"Empleador o patrono (060)",75,,17,34,22,2
"Trabajador familiar no remunerado (061)",1155,232,777,106,30,10
"Trabajador del hogar (062)",102,5,66,21,9,1
"Mujeres (064)",1393,125,526,455,236,51
"Empleado (065)",135,1,53,70,11,
"Obrero (066)",179,12,65,67,33,2
"Trabajador independiente (067)",407,2,128,145,99,33
"Empleador o patrono (068)",8,,3,2,2,1
"Trabajador familiar no remunerado (069)",616,107,243,165,87,14
"Trabajador del hogar (070)",48,3,34,6,4,1
