"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",17816,17168,5868,2607,2456,1784,2240,1238,975,648
"Católica (001)",16252,15650,5343,2362,2249,1640,2047,1118,891,602
"Cristiana/Evangélica (002)",797,782,252,120,107,70,115,78,40,15
"Otra (003)",601,574,207,92,79,55,65,38,38,27
"Ninguna (004)",166,162,66,33,21,19,13,4,6,4
,,,,,,,,,,
"URBANA (006)",11723,11270,3872,1906,1796,1254,1379,632,431,453
"Católica (007)",10555,10141,3466,1724,1632,1141,1241,552,385,414
"Cristiana/Evangélica (008)",575,561,192,80,85,54,82,52,16,14
"Otra (009)",461,439,162,75,64,43,45,24,26,22
"Ninguna (010)",132,129,52,27,15,16,11,4,4,3
,,,,,,,,,,
"RURAL (012)",6093,5898,1996,701,660,530,861,606,544,195
"Católica (013)",5697,5509,1877,638,617,499,806,566,506,188
"Cristiana/Evangélica (014)",222,221,60,40,22,16,33,26,24,1
"Otra (015)",140,135,45,17,15,12,20,14,12,5
"Ninguna (016)",34,33,14,6,6,3,2,,2,1
