"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCANE (000)",23192,20686,1156,389,961
"Empleado (001)",1930,482,307,257,884
"Obrero (002)",1454,1164,124,97,69
"Trabajador independiente (003)",12896,12470,426,,
"Empleador o patrono (004)",105,90,8,5,2
"Trabajador familiar no remunerado (005)",6639,6312,291,30,6
"Trabajador del hogar (006)",168,168,,,
"De 06 a 14 años (008)",393,358,35,,
"Empleado (009)",6,5,1,,
"Obrero (010)",11,10,1,,
"Trabajador independiente (011)",46,40,6,,
"Trabajador familiar no remunerado (013)",315,288,27,,
"Trabajador del hogar (014)",15,15,,,
"De 15 a 29 años (016)",5397,4741,321,89,246
"Empleado (017)",479,165,49,47,218
"Obrero (018)",465,350,55,36,24
"Trabajador independiente (019)",2370,2263,107,,
"Empleador o patrono (020)",17,13,3,1,
"Trabajador familiar no remunerado (021)",1997,1881,107,5,4
"Trabajador del hogar (022)",69,69,,,
"De 30 a 44 años (024)",6691,5676,437,166,412
"Empleado (025)",839,191,135,124,389
"Obrero (026)",436,342,41,30,23
"Trabajador independiente (027)",3703,3533,170,,
"Empleador o patrono (028)",41,35,3,3,
"Trabajador familiar no remunerado (029)",1632,1535,88,9,
"Trabajador del hogar (030)",40,40,,,
"De 45 a 64 años (032)",7110,6393,316,118,283
"Empleado (033)",565,108,115,82,260
"Obrero (034)",391,328,20,24,19
"Trabajador independiente (035)",4357,4239,118,,
"Empleador o patrono (036)",33,28,2,1,2
"Trabajador familiar no remunerado (037)",1731,1657,61,11,2
"Trabajador del hogar (038)",33,33,,,
"De 65 y más años (040)",3601,3518,47,16,20
"Empleado (041)",41,13,7,4,17
"Obrero (042)",151,134,7,7,3
"Trabajador independiente (043)",2420,2395,25,,
"Empleador o patrono (044)",14,14,,,
"Trabajador familiar no remunerado (045)",964,951,8,5,
"Trabajador del hogar (046)",11,11,,,
,,,,,
"URBANA (048)",4735,3487,348,223,677
"Empleado (049)",1285,294,169,181,641
"Obrero (050)",340,235,37,37,31
"Trabajador independiente (051)",2383,2281,102,,
"Empleador o patrono (052)",52,41,5,4,2
"Trabajador familiar no remunerado (053)",608,569,35,1,3
"Trabajador del hogar (054)",67,67,,,
"De 06 a 14 años (056)",98,89,9,,
