"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia AMBO (000)",13643,68,284,808,1521,2953,5330,2679
"De 12 a 14 años (001)",15,,,,,,1,14
"De 15 a 19 años (002)",361,,,,,,234,127
"De 20 a 24 años (003)",1311,,,,,3,855,453
"De 25 a 29 años (004)",1636,,,,,99,1150,387
"De 30 a 34 años (005)",1640,,,,,260,1132,248
"De 35 a 39 años (006)",1605,,,,10,443,943,209
"De 40 a 44 años (007)",1387,,,1,57,570,607,152
"De 45 a 49 años (008)",1222,,,7,118,618,325,154
"De 50 y más años (009)",4466,68,284,800,1336,960,83,935
"PEA (010)",2310,2,13,96,250,578,819,552
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",50,,,,,,32,18
"De 20 a 24 años (013)",223,,,,,1,129,93
"De 25 a 29 años (014)",281,,,,,17,170,94
"De 30 a 34 años (015)",323,,,,,53,184,86
"De 35 a 39 años (016)",323,,,,3,113,147,60
"De 40 a 44 años (017)",290,,,1,14,125,101,49
"De 45 a 49 años (018)",245,,,4,29,126,45,41
"De 50 y más años (019)",574,2,13,91,204,143,11,110
"Ocupada (020)",2229,2,13,95,249,565,790,515
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",47,,,,,,32,15
"De 20 a 24 años (023)",200,,,,,1,118,81
"De 25 a 29 años (024)",262,,,,,16,162,84
"De 30 a 34 años (025)",314,,,,,51,182,81
"De 35 a 39 años (026)",312,,,,3,111,141,57
"De 40 a 44 años (027)",285,,,1,14,123,100,47
"De 45 a 49 años (028)",239,,,4,28,122,44,41
"De 50 y más años (029)",569,2,13,90,204,141,11,108
"Desocupada (030)",81,,,1,1,13,29,37
"De 15 a 19 años (032)",3,,,,,,,3
"De 20 a 24 años (033)",23,,,,,,11,12
"De 25 a 29 años (034)",19,,,,,1,8,10
"De 30 a 34 años (035)",9,,,,,2,2,5
"De 35 a 39 años (036)",11,,,,,2,6,3
"De 40 a 44 años (037)",5,,,,,2,1,2
"De 45 a 49 años (038)",6,,,,1,4,1,
"De 50 y más años (039)",5,,,1,,2,,2
"No PEA (040)",11333,66,271,712,1271,2375,4511,2127
"De 12 a 14 años (041)",14,,,,,,1,13
"De 15 a 19 años (042)",311,,,,,,202,109
"De 20 a 24 años (043)",1088,,,,,2,726,360
"De 25 a 29 años (044)",1355,,,,,82,980,293
"De 30 a 34 años (045)",1317,,,,,207,948,162
"De 35 a 39 años (046)",1282,,,,7,330,796,149
"De 40 a 44 años (047)",1097,,,,43,445,506,103
"De 45 a 49 años (048)",977,,,3,89,492,280,113
