"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ILO (000)",2703,2220,483
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",109,109,
"Casa pensión (003)",10,10,
"Hospital, clinica (004)",18,18,
"Asilo (006)",11,11,
"Otro (008)",1783,1303,480
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",772,769,3
