"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ZARUMILLA (000)",15599,11926,1454,805,1414
"Sin nivel (001)",358,312,20,14,12
"Educación inicial (002)",18,14,4,,
"Primaria (003)",4534,3904,356,125,149
"Secundaria (004)",7167,5695,688,285,499
"Superior no univ. incompleta (005)",922,663,93,62,104
"Superior no univ. completa (006)",1358,710,152,174,322
"Superior univ. incompleta (007)",423,258,49,36,80
"Superior univ. completa (008)",819,370,92,109,248
"De 06 a 14 años (010)",232,196,30,4,2
"Sin nivel (011)",6,4,1,1,
"Educación inicial (012)",3,3,,,
"Primaria (013)",122,103,16,2,1
"Secundaria (014)",101,86,13,1,1
"De 15 a 29 años (020)",5858,4449,595,277,537
"Sin nivel (021)",50,41,5,1,3
"Educación inicial (022)",12,10,2,,
"Primaria (023)",1090,887,112,46,45
"Secundaria (024)",3298,2601,327,139,231
"Superior no univ. incompleta (025)",480,345,49,26,60
"Superior no univ. completa (026)",487,308,53,35,91
"Superior univ. incompleta (027)",184,120,21,11,32
"Superior univ. completa (028)",257,137,26,19,75
"De 30 a 44 años (030)",5606,4135,564,346,561
"Sin nivel (031)",115,97,6,6,6
"Educación inicial (032)",3,1,2,,
"Primaria (033)",1479,1248,125,48,58
"Secundaria (034)",2532,2001,259,101,171
"Superior no univ. incompleta (035)",323,231,33,25,34
"Superior no univ. completa (036)",631,309,78,95,149
"Superior univ. incompleta (037)",156,88,19,18,31
"Superior univ. completa (038)",367,160,42,53,112
"De 45 a 64 años (040)",3331,2616,243,169,303
"Sin nivel (041)",113,101,7,5,
"Primaria (043)",1439,1284,87,25,43
"Secundaria (044)",1165,946,86,41,92
"Superior no univ. incompleta (045)",117,86,11,11,9
"Superior no univ. completa (046)",229,84,20,43,82
"Superior univ. incompleta (047)",82,49,9,7,17
"Superior univ. completa (048)",186,66,23,37,60
"De 65 y más años (050)",572,530,22,9,11
"Sin nivel (051)",74,69,1,1,3
"Primaria (053)",404,382,16,4,2
"Secundaria (054)",71,61,3,3,4
"Superior no univ. incompleta (055)",2,1,,,1
"Superior no univ. completa (056)",11,9,1,1,
"Superior univ. incompleta (057)",1,1,,,
"Superior univ. completa (058)",9,7,1,,1
,,,,,
