"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SECHURA (000)",22003,21259,6886,2929,2523,2132,2875,1681,1067,1166,744,60497
"De 12 a 14 años (001)",2088,2081,2079,2,,,,,,,7,2
"De 15 a 19 años (002)",3259,3205,2715,422,64,3,1,,,,54,563
"De 20 a 24 años (003)",3268,3038,1111,1118,612,153,42,2,,,230,2993
"De 25 a 29 años (004)",2669,2502,358,633,742,491,255,20,3,,167,4815
"De 30 a 34 años (005)",2149,2055,164,266,440,490,548,130,16,1,94,5963
"De 35 a 39 años (006)",1921,1848,98,141,278,381,618,249,65,18,73,6927
"De 40 a 44 años (007)",1509,1477,75,97,136,245,476,300,110,38,32,6483
"De 45 a 49 años (008)",1297,1271,75,73,104,143,332,288,162,94,26,6452
"De 50 y más años (009)",3843,3782,211,177,147,226,603,692,711,1015,61,26299
"PEA (010)",5399,5101,1625,792,656,587,769,340,185,147,298,12720
"De 12 a 14 años (011)",144,144,144,,,,,,,,,
"De 15 a 19 años (012)",657,652,595,49,7,,1,,,,5,67
"De 20 a 24 años (013)",901,806,460,241,81,16,7,1,,,95,486
"De 25 a 29 años (014)",791,710,197,218,168,79,42,5,1,,81,1008
"De 30 a 34 años (015)",660,618,78,110,142,138,130,18,2,,42,1507
"De 35 a 39 años (016)",630,595,47,60,110,139,178,47,14,,35,1913
"De 40 a 44 años (017)",484,471,25,41,52,95,159,69,23,7,13,1848
"De 45 a 49 años (018)",398,389,27,25,51,59,99,69,38,21,9,1733
"De 50 y más años (019)",734,716,52,48,45,61,153,131,107,119,18,4158
"Ocupada (020)",5250,4961,1542,769,643,580,760,337,184,146,289,12571
"De 12 a 14 años (021)",135,135,135,,,,,,,,,
"De 15 a 19 años (022)",627,622,566,48,7,,1,,,,5,66
