"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PARURO (000)",9028,691,1162,5462,114,1525,74
"Sin nivel (001)",1503,12,90,1006,14,365,16
"Educación inicial (002)",15,,,10,,5,
"Primaria (003)",4415,50,552,2953,55,772,33
"Secundaria (004)",2411,195,483,1311,40,359,23
"Superior no univ. incompleta (005)",141,61,13,56,,11,
"Superior no univ. completa (006)",250,172,12,59,1,5,1
"Superior univ. incompleta (007)",76,29,6,34,1,5,1
"Superior univ. completa (008)",217,172,6,33,3,3,
"Hombres (010)",6717,436,1057,4437,101,666,20
"Sin nivel (011)",777,4,63,652,9,47,2
"Educación inicial (012)",11,,,9,,2,
"Primaria (013)",3476,21,489,2550,51,356,9
"Secundaria (014)",2013,144,470,1109,37,245,8
"Superior no univ. incompleta (015)",92,35,13,37,,7,
"Superior no univ. completa (016)",149,103,11,30,1,4,
"Superior univ. incompleta (017)",62,25,6,25,1,4,1
"Superior univ. completa (018)",137,104,5,25,2,1,
"Mujeres (020)",2311,255,105,1025,13,859,54
"Sin nivel (021)",726,8,27,354,5,318,14
"Educación inicial (022)",4,,,1,,3,
"Primaria (023)",939,29,63,403,4,416,24
"Secundaria (024)",398,51,13,202,3,114,15
"Superior no univ. incompleta (025)",49,26,,19,,4,
"Superior no univ. completa (026)",101,69,1,29,,1,1
"Superior univ. incompleta (027)",14,4,,9,,1,
"Superior univ. completa (028)",80,68,1,8,1,2,
,,,,,,,
"URBANA (030)",3652,505,401,2043,80,564,59
"Sin nivel (031)",415,3,29,276,7,88,12
"Educación inicial (032)",10,,,6,,4,
"Primaria (033)",1571,28,140,1029,37,310,27
"Secundaria (034)",1138,136,211,596,33,144,18
"Superior no univ. incompleta (035)",96,40,7,41,,8,
"Superior no univ. completa (036)",203,143,7,47,1,4,1
"Superior univ. incompleta (037)",57,23,3,25,1,4,1
"Superior univ. completa (038)",162,132,4,23,1,2,
"Hombres (040)",2501,320,360,1484,73,246,18
"Sin nivel (041)",165,,18,133,6,7,1
"Educación inicial (042)",6,,,5,,1,
"Primaria (043)",1116,11,119,817,34,127,8
"Secundaria (044)",892,104,203,448,30,99,8
"Superior no univ. incompleta (045)",63,25,7,25,,6,
"Superior no univ. completa (046)",121,87,7,23,1,3,
"Superior univ. incompleta (047)",44,19,3,17,1,3,1
"Superior univ. completa (048)",94,74,3,16,1,,
"Mujeres (050)",1151,185,41,559,7,318,41
"Sin nivel (051)",250,3,11,143,1,81,11
"Educación inicial (052)",4,,,1,,3,
"Primaria (053)",455,17,21,212,3,183,19
"Secundaria (054)",246,32,8,148,3,45,10
"Superior no univ. incompleta (055)",33,15,,16,,2,
"Superior no univ. completa (056)",82,56,,24,,1,1
"Superior univ. incompleta (057)",13,4,,8,,1,
"Superior univ. completa (058)",68,58,1,7,,2,
,,,,,,,
"RURAL (060)",5376,186,761,3419,34,961,15
"Sin nivel (061)",1088,9,61,730,7,277,4
"Educación inicial (062)",5,,,4,,1,
"Primaria (063)",2844,22,412,1924,18,462,6
"Secundaria (064)",1273,59,272,715,7,215,5
"Superior no univ. incompleta (065)",45,21,6,15,,3,
"Superior no univ. completa (066)",47,29,5,12,,1,
"Superior univ. incompleta (067)",19,6,3,9,,1,
"Superior univ. completa (068)",55,40,2,10,2,1,
"Hombres (070)",4216,116,697,2953,28,420,2
"Sin nivel (071)",612,4,45,519,3,40,1
"Educación inicial (072)",5,,,4,,1,
"Primaria (073)",2360,10,370,1733,17,229,1
"Secundaria (074)",1121,40,267,661,7,146,
"Superior no univ. incompleta (075)",29,10,6,12,,1,
"Superior no univ. completa (076)",28,16,4,7,,1,
"Superior univ. incompleta (077)",18,6,3,8,,1,
"Superior univ. completa (078)",43,30,2,9,1,1,
"Mujeres (080)",1160,70,64,466,6,541,13
"Sin nivel (081)",476,5,16,211,4,237,3
"Primaria (083)",484,12,42,191,1,233,5
"Secundaria (084)",152,19,5,54,,69,5
"Superior no univ. incompleta (085)",16,11,,3,,2,
"Superior no univ. completa (086)",19,13,1,5,,,
"Superior univ. incompleta (087)",1,,,1,,,
"Superior univ. completa (088)",12,10,,1,1,,
