"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ICA (000)",321332,5667,83001,91110,66293,51270,23991
"Hombres (001)",157232,2943,42260,44863,31455,24121,11590
"Mujeres (002)",164100,2724,40741,46247,34838,27149,12401
"Viviendas particulares (003)",317159,5619,82774,89447,64903,50632,23784
"Hombres (004)",154334,2912,42132,43754,30408,23659,11469
"Mujeres (005)",162825,2707,40642,45693,34495,26973,12315
"Viviendas colectivas (006)",2843,47,174,1039,957,459,167
"Hombres (007)",2053,30,103,736,753,330,101
"Mujeres (008)",790,17,71,303,204,129,66
"Otro tipo (009)",1330,1,53,624,433,179,40
"Hombres (010)",845,1,25,373,294,132,20
"Mujeres (011)",485,,28,251,139,47,20
,,,,,,,
"URBANA (012)",293950,5140,76270,83191,60807,46996,21546
"Hombres (013)",143175,2678,38797,40762,28677,21964,10297
"Mujeres (014)",150775,2462,37473,42429,32130,25032,11249
"Viviendas particulares (015)",290530,5093,76046,81950,59654,46437,21350
"Hombres (016)",140761,2648,38669,39912,27788,21559,10185
"Mujeres (017)",149769,2445,37377,42038,31866,24878,11165
"Viviendas colectivas (018)",2694,47,172,952,917,442,164
"Hombres (019)",1954,30,103,681,724,317,99
"Mujeres (020)",740,17,69,271,193,125,65
"Otro tipo (021)",726,,52,289,236,117,32
"Hombres (022)",460,,25,169,165,88,13
"Mujeres (023)",266,,27,120,71,29,19
,,,,,,,
"RURAL (024)",27382,527,6731,7919,5486,4274,2445
"Hombres (025)",14057,265,3463,4101,2778,2157,1293
"Mujeres (026)",13325,262,3268,3818,2708,2117,1152
"Viviendas particulares (027)",26629,526,6728,7497,5249,4195,2434
"Hombres (028)",13573,264,3463,3842,2620,2100,1284
"Mujeres (029)",13056,262,3265,3655,2629,2095,1150
"Viviendas colectivas (030)",149,,2,87,40,17,3
"Hombres (031)",99,,,55,29,13,2
"Mujeres (032)",50,,2,32,11,4,1
"Otro tipo (033)",604,1,1,335,197,62,8
"Hombres (034)",385,1,,204,129,44,7
"Mujeres (035)",219,,1,131,68,18,1
